NCELL,NMUT,ALPHA_FP,BETA_FN,GAMMA_NA,S,H,MINVAF,ISAV,D,L,REPL,MTHD,NODE,SECS,NLEAF,NINT_ESTI,SE_FP,NINT_TRUE,SE_FN,SL_P,SL_R,SL_FPR,DL_P,DL_R,DL_FPR,AD_P,AD_R,AD_FPR,AD_FLIP,QS,NQS
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo10,fastral_wrootx_wmuts,heron10,262.641,300,139,96,81,38,0.948051948051948,0.3935309973045822,0.00020382165605095542,0.9740655579915513,0.9964716501189792,0.00261437908496732,0.8348668280871671,0.6411305317962067,0.008502111989602512,0.015419760137064534,741697744,0.9267767262922164
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo10,fastme_v2.1.5_wrootx_wmuts,heron10,2.404,300,133,76,81,24,0.9147727272727273,0.4339622641509434,0.0003821656050955414,0.975822645853972,0.9968545718114932,0.004901960784313725,0.8520992366412213,0.6641874302714764,0.008041806563413842,0.007226236798221234,740671822,0.9254948016264308
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo10,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron10,192.458,300,129,82,81,34,0.9493670886075949,0.40431266846361186,0.00020382165605095542,0.9734470679466267,0.9957058067339515,0.00261437908496732,0.8359148112294289,0.6422461881740424,0.00893534062601538,0.005184331797235023,743294809,0.928772313692002
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,huntress_v0.1.2.0_default,heron10,1420.175,300,172,91,88,7,0.9005281690140845,0.6313515737502572,0.0007490305688434217,0.9884482103864046,0.999400052315438,0.008320447684264782,0.9406442936609817,0.8577002396744886,0.004495165621352867,0.001524835350225481,4079708851,0.8960036998228881
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,scistree_v1.2.0.6_wmuts,heron10,3067.236,300,195,107,88,0,0.9758779709116708,0.5659329356099568,0.00015024801970900495,0.9876906279298845,0.9985985222088634,0.001668998355545738,0.923774083188284,0.857867454433978,0.006008577582526022,0.00022735392510312124,4122523189,0.9054067740751266
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,fastral_wrootx_wmuts,heron10,416.425,300,177,96,88,7,0.9702209414024976,0.6233285332236166,0.00020548626224908028,0.9879692925991553,0.9981713594574553,0.0022826006921434355,0.9264339526367921,0.8602084610668301,0.00573815600952643,0.0010356657388827756,4125224087,0.9059999572382464
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,fastme_v2.1.5_wrootx_wmuts,heron10,2.321,300,173,86,88,1,0.967992240543162,0.6159226496605636,0.00021874344045869835,0.9879746474590444,0.9980297718038987,0.0024298652529268832,0.9243916309976353,0.8606822362187169,0.005972995796605023,0.000258975106017934,4121900672,0.9052700541385884
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron10,683.387,300,163,80,88,5,0.9722921914357683,0.6352602345196462,0.00019443861374106522,0.9877861181933425,0.998545726812622,0.002159880224823896,0.9331779096524161,0.8589543503706594,0.005216289816018445,0.00025949592915761136,4124278449,0.905792272038729
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,huntress_v0.1.2.0_default,heron03,1515.762,300,164,87,84,7,0.8419354838709677,0.6260357610117749,0.0012209652647840999,0.985552870018693,0.9989621247960454,0.01698600781545443,0.9108221291602381,0.7611434465482944,0.004652728375197544,0.0035686728395061726,2276233026,0.9241063095295275
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,scistree_v1.2.0.6_wmuts,heron03,2767.589,300,193,111,84,2,0.9150594993844892,0.48626253815961623,0.0004689050274773816,0.9837319845646557,0.9980401054288114,0.006523383335434262,0.8785508616614379,0.7530759596257276,0.006689043051464094,0.0011726193384472565,2298448673,0.9331254298605676
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,fastral_wrootx_wmuts,heron03,403.591,300,169,94,84,9,0.9007741027445461,0.5582206716092455,0.0006387981533749836,0.9846435283440879,0.9977504658370101,0.008886928022185806,0.8833368983957219,0.7606277167906874,0.006395412681967276,0.0023192887514495554,2301478809,0.9343556061054192
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,fastme_v2.1.5_wrootx_wmuts,heron03,1.834,300,182,102,84,4,0.9090564607805988,0.5231138246838203,0.0005436580028723264,0.9842348561308628,0.9980039004798362,0.007563342997604941,0.8815298107052411,0.7565387165696603,0.006483740516693961,0.002137894174238375,2296774989,0.932445946729055
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron03,629.269,300,177,96,84,3,0.9152348224513173,0.5226777147841256,0.0005028836526569019,0.9844350010117964,0.9980666557247265,0.006996092272784571,0.882058521560575,0.7595594194356443,0.0064813532779175636,0.0020328154493974154,2300384744,0.9339114370076218
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,huntress_v0.1.2.0_default,heron05,1510.245,300,171,88,90,7,0.8772395487723955,0.5761603835258227,0.0008050881571532082,0.9890285976273712,0.9976275536748639,0.011671556102331157,0.8845428651662856,0.8132561227500738,0.006257807959657159,0.006443763518385003,2366579562,0.9174930517687192
n300,m1000,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,scistree_v1.2.0.6_wmuts,heron05,2531.888,300,185,96,90,1,0.9369195046439629,0.5275659185007627,0.000354673971935062,0.9890725648558847,0.9987559686911079,0.005141793634270212,0.9002129968251417,0.8262024195928003,0.00555308954957511,0.0024937655860349127,2393889374,0.9280807214830368
