SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
1X,100,500,R18,astral_3_v5.7.7,heron00,0m9.969s,0m28.276s,0m1.448s
1X,100,500,R19,astral_3_v5.7.7,heron06,0m7.253s,0m19.879s,0m0.877s
1X,100,500,R1,astral_3_v5.7.7,heron04,0m7.157s,0m19.016s,0m0.689s
1X,100,500,R20,astral_3_v5.7.7,heron02,0m6.515s,0m17.622s,0m0.724s
1X,100,500,R2,astral_3_v5.7.7,heron03,0m6.835s,0m19.209s,0m0.926s
1X,100,500,R3,astral_3_v5.7.7,heron09,0m6.783s,0m20.067s,0m0.660s
1X,100,500,R4,astral_3_v5.7.7,heron05,0m6.881s,0m18.116s,0m0.819s
1X,100,500,R5,astral_3_v5.7.7,heron11,0m6.444s,0m16.511s,0m0.764s
1X,100,500,R6,astral_3_v5.7.7,heron01,0m6.398s,0m18.149s,0m0.725s
1X,100,500,R7,astral_3_v5.7.7,heron06,0m6.962s,0m19.267s,0m0.875s
1X,100,500,R8,astral_3_v5.7.7,heron02,0m6.381s,0m17.989s,0m0.724s
1X,100,500,R9,astral_3_v5.7.7,heron10,0m7.269s,0m20.269s,0m0.824s
1X,100,true,R10,astral_3_v5.7.7,heron04,0m4.460s,0m13.531s,0m0.612s
1X,100,true,R11,astral_3_v5.7.7,heron03,0m4.309s,0m14.652s,0m0.581s
1X,100,true,R12,astral_3_v5.7.7,heron09,0m4.245s,0m13.986s,0m0.584s
1X,100,true,R13,astral_3_v5.7.7,heron05,0m3.989s,0m12.984s,0m0.555s
1X,100,true,R14,astral_3_v5.7.7,heron11,0m4.297s,0m13.754s,0m0.509s
1X,100,true,R15,astral_3_v5.7.7,heron01,0m4.015s,0m13.002s,0m0.629s
1X,100,true,R16,astral_3_v5.7.7,heron06,0m4.527s,0m14.392s,0m0.589s
1X,100,true,R17,astral_3_v5.7.7,heron02,0m4.262s,0m13.026s,0m0.580s
1X,100,true,R18,astral_3_v5.7.7,heron07,0m4.741s,0m14.949s,0m0.726s
1X,100,true,R19,astral_3_v5.7.7,heron10,0m4.295s,0m13.035s,0m0.540s
1X,100,true,R1,astral_3_v5.7.7,heron09,0m3.851s,0m12.906s,0m0.578s
1X,100,true,R20,astral_3_v5.7.7,heron08,0m3.976s,0m13.674s,0m0.580s
1X,100,true,R2,astral_3_v5.7.7,heron05,0m3.991s,0m13.696s,0m0.594s
1X,100,true,R3,astral_3_v5.7.7,heron11,0m4.155s,0m14.584s,0m0.526s
1X,100,true,R4,astral_3_v5.7.7,heron01,0m3.839s,0m13.189s,0m0.586s
1X,100,true,R5,astral_3_v5.7.7,heron06,0m4.155s,0m13.605s,0m0.599s
1X,100,true,R6,astral_3_v5.7.7,heron02,0m4.243s,0m12.854s,0m0.519s
1X,100,true,R7,astral_3_v5.7.7,heron10,0m4.485s,0m14.357s,0m0.557s
1X,100,true,R8,astral_3_v5.7.7,heron07,0m4.097s,0m13.723s,0m0.577s
1X,100,true,R9,astral_3_v5.7.7,heron08,0m4.325s,0m14.152s,0m0.579s
1X,200,500,R10,astral_3_v5.7.7,heron09,0m13.587s,0m26.764s,0m1.237s
1X,200,500,R11,astral_3_v5.7.7,heron11,0m13.673s,0m30.948s,0m1.330s
1X,200,500,R12,astral_3_v5.7.7,heron05,0m14.383s,0m29.096s,0m1.334s
1X,200,500,R13,astral_3_v5.7.7,heron01,0m14.027s,0m27.265s,0m1.328s
1X,200,500,R14,astral_3_v5.7.7,heron06,0m13.760s,0m28.356s,0m1.151s
1X,200,500,R15,astral_3_v5.7.7,heron02,0m14.120s,0m32.068s,0m1.361s
1X,200,500,R16,astral_3_v5.7.7,heron00,0m26.405s,0m56.892s,0m2.202s
1X,200,500,R17,astral_3_v5.7.7,heron08,0m14.658s,0m29.155s,0m1.412s
1X,200,500,R18,astral_3_v5.7.7,heron10,0m14.669s,0m27.669s,0m1.303s
1X,200,500,R19,astral_3_v5.7.7,heron07,0m13.860s,0m28.115s,0m1.627s
1X,200,500,R1,astral_3_v5.7.7,heron05,0m14.420s,0m28.063s,0m1.398s
1X,200,500,R20,astral_3_v5.7.7,heron04,0m13.941s,0m30.754s,0m1.184s
1X,200,500,R2,astral_3_v5.7.7,heron01,0m15.723s,0m32.415s,0m1.523s
1X,200,500,R3,astral_3_v5.7.7,heron06,0m13.350s,0m27.718s,0m1.002s
1X,200,500,R4,astral_3_v5.7.7,heron02,0m13.427s,0m26.985s,0m1.142s
1X,200,500,R5,astral_3_v5.7.7,heron08,0m12.400s,0m25.570s,0m1.504s
1X,200,500,R6,astral_3_v5.7.7,heron10,0m12.850s,0m25.820s,0m1.273s
1X,200,500,R7,astral_3_v5.7.7,heron07,0m13.934s,0m26.030s,0m1.085s
1X,200,500,R8,astral_3_v5.7.7,heron04,0m13.791s,0m26.219s,0m1.430s
1X,200,500,R9,astral_3_v5.7.7,heron03,0m13.705s,0m27.689s,0m1.356s
1X,200,true,R10,astral_3_v5.7.7,heron01,0m7.586s,0m20.850s,0m0.880s
1X,200,true,R11,astral_3_v5.7.7,heron06,0m7.970s,0m21.315s,0m1.091s
1X,200,true,R12,astral_3_v5.7.7,heron02,0m7.770s,0m21.392s,0m1.024s
1X,200,true,R13,astral_3_v5.7.7,heron08,0m7.341s,0m19.516s,0m0.783s
1X,200,true,R14,astral_3_v5.7.7,heron00,0m13.347s,0m33.691s,0m1.454s
1X,200,true,R15,astral_3_v5.7.7,heron10,0m7.814s,0m18.294s,0m0.889s
1X,200,true,R16,astral_3_v5.7.7,heron07,0m7.864s,0m18.210s,0m0.881s
1X,200,true,R17,astral_3_v5.7.7,heron03,0m7.575s,0m19.063s,0m0.889s
1X,200,true,R18,astral_3_v5.7.7,heron04,0m7.661s,0m18.031s,0m0.760s
1X,200,true,R19,astral_3_v5.7.7,heron09,0m7.839s,0m21.409s,0m0.916s
1X,200,true,R1,astral_3_v5.7.7,heron10,0m7.622s,0m20.528s,0m0.919s
1X,200,true,R20,astral_3_v5.7.7,heron11,0m7.808s,0m18.512s,0m0.929s
1X,200,true,R2,astral_3_v5.7.7,heron07,0m7.620s,0m20.617s,0m0.813s
1X,200,true,R3,astral_3_v5.7.7,heron03,0m7.540s,0m20.932s,0m0.877s
1X,200,true,R4,astral_3_v5.7.7,heron03,0m7.832s,0m20.048s,0m0.798s
1X,200,true,R5,astral_3_v5.7.7,heron04,0m7.940s,0m21.823s,0m0.860s
1X,200,true,R6,astral_3_v5.7.7,heron09,0m7.531s,0m20.590s,0m0.918s
1X,200,true,R7,astral_3_v5.7.7,heron05,0m7.694s,0m19.163s,0m0.935s
1X,200,true,R8,astral_3_v5.7.7,heron11,0m8.052s,0m18.632s,0m0.849s
1X,200,true,R9,astral_3_v5.7.7,heron04,0m7.886s,0m18.825s,0m0.928s
1X,25,500,R10,astral_3_v5.7.7,heron02,0m3.347s,0m9.290s,0m0.381s
1X,25,500,R11,astral_3_v5.7.7,heron06,0m3.411s,0m9.113s,0m0.356s
1X,25,500,R12,astral_3_v5.7.7,heron07,0m2.951s,0m8.308s,0m0.417s
1X,25,500,R13,astral_3_v5.7.7,heron10,0m2.830s,0m8.072s,0m0.344s
1X,25,500,R14,astral_3_v5.7.7,heron08,0m3.517s,0m9.061s,0m0.368s
1X,25,500,R15,astral_3_v5.7.7,heron04,0m2.833s,0m8.162s,0m0.366s
1X,25,500,R16,astral_3_v5.7.7,heron09,0m3.362s,0m8.905s,0m0.401s
1X,25,500,R17,astral_3_v5.7.7,heron03,0m2.827s,0m8.284s,0m0.368s
1X,25,500,R18,astral_3_v5.7.7,heron05,0m3.213s,0m8.781s,0m0.336s
1X,25,500,R19,astral_3_v5.7.7,heron11,0m2.872s,0m8.337s,0m0.386s
1X,25,500,R1,astral_3_v5.7.7,heron07,0m3.280s,0m8.690s,0m0.413s
1X,25,500,R20,astral_3_v5.7.7,heron01,0m3.047s,0m7.969s,0m0.380s
1X,25,500,R2,astral_3_v5.7.7,heron10,0m3.347s,0m8.342s,0m0.412s
1X,25,500,R3,astral_3_v5.7.7,heron08,0m2.680s,0m7.980s,0m0.367s
1X,25,500,R4,astral_3_v5.7.7,heron04,0m3.301s,0m9.210s,0m0.355s
1X,25,500,R5,astral_3_v5.7.7,heron09,0m2.914s,0m8.442s,0m0.482s
1X,25,500,R6,astral_3_v5.7.7,heron03,0m3.045s,0m8.149s,0m0.297s
1X,25,500,R7,astral_3_v5.7.7,heron05,0m2.538s,0m7.076s,0m0.372s
1X,25,500,R8,astral_3_v5.7.7,heron11,0m3.072s,0m8.605s,0m0.343s
1X,25,500,R9,astral_3_v5.7.7,heron01,0m2.562s,0m7.503s,0m0.363s
1X,500,500,R10,astral_3_v5.7.7,heron02,1m1.720s,1m22.689s,0m2.390s
1X,500,500,R11,astral_3_v5.7.7,heron08,1m0.445s,1m20.964s,0m2.390s
1X,500,500,R12,astral_3_v5.7.7,heron07,0m58.223s,1m14.097s,0m2.513s
1X,500,500,R13,astral_3_v5.7.7,heron10,0m59.137s,1m19.168s,0m2.348s
1X,500,500,R14,astral_3_v5.7.7,heron04,0m58.467s,1m18.946s,0m2.590s
1X,500,500,R15,astral_3_v5.7.7,heron00,1m52.517s,2m26.175s,0m3.548s
1X,500,500,R16,astral_3_v5.7.7,heron03,1m0.952s,1m20.078s,0m2.441s
1X,500,500,R17,astral_3_v5.7.7,heron05,0m58.408s,1m18.004s,0m2.837s
1X,500,500,R18,astral_3_v5.7.7,heron09,0m59.063s,1m18.369s,0m2.173s
1X,500,500,R19,astral_3_v5.7.7,heron01,0m59.227s,1m18.862s,0m2.387s
1X,500,500,R1,astral_3_v5.7.7,heron07,0m59.618s,1m18.662s,0m2.723s
