SCAL,NGEN,NBPS,REPL,MTHD,QS,NQS
1X,25,500,R7,astral_3_v5.7.7,3083120,0.6337999794429027
1X,25,500,R8,astral_3_v5.7.7,3097343,0.6367238153972659
1X,25,500,R9,astral_3_v5.7.7,3140039,0.6455008736766369
1X,500,500,R10,astral_3_v5.7.7,61705022,0.6342380717442697
1X,500,500,R11,astral_3_v5.7.7,61338314,0.6304688457189844
1X,500,500,R12,astral_3_v5.7.7,61643763,0.6336084181313598
1X,500,500,R13,astral_3_v5.7.7,61716413,0.6343551546921574
1X,500,500,R14,astral_3_v5.7.7,61821311,0.6354333538904307
1X,500,500,R15,astral_3_v5.7.7,61341257,0.6304990954877171
1X,500,500,R16,astral_3_v5.7.7,61057657,0.6275840990852092
1X,500,500,R17,astral_3_v5.7.7,60887267,0.6258327371775105
1X,500,500,R18,astral_3_v5.7.7,61717065,0.6343618563058896
1X,500,500,R19,astral_3_v5.7.7,61721278,0.6344051598314318
1X,500,500,R1,astral_3_v5.7.7,61311309,0.6301912735121801
1X,500,500,R20,astral_3_v5.7.7,62069921,0.6379887038750128
1X,500,500,R2,astral_3_v5.7.7,61377199,0.6308685270839758
1X,500,500,R3,astral_3_v5.7.7,61338955,0.6304754342686812
1X,500,500,R4,astral_3_v5.7.7,62128390,0.6385896803371364
1X,500,500,R5,astral_3_v5.7.7,61687662,0.6340596361393771
1X,500,500,R6,astral_3_v5.7.7,61584896,0.6330033508068661
1X,500,500,R7,astral_3_v5.7.7,61368741,0.630781591119334
1X,500,500,R8,astral_3_v5.7.7,61642611,0.6335965772432932
1X,500,500,R9,astral_3_v5.7.7,61117530,0.6281995066296638
1X,500,true,R10,astral_3_v5.7.7,68218214,0.7011842327063419
1X,500,true,R11,astral_3_v5.7.7,67886808,0.6977778600061671
1X,500,true,R12,astral_3_v5.7.7,68409267,0.7031479802651865
1X,500,true,R13,astral_3_v5.7.7,67954463,0.6984732552163635
1X,500,true,R14,astral_3_v5.7.7,68146638,0.7004485353068147
1X,500,true,R15,astral_3_v5.7.7,67843606,0.6973338061465721
1X,500,true,R16,astral_3_v5.7.7,67535711,0.6941690924041526
1X,500,true,R17,astral_3_v5.7.7,67737028,0.6962383389865351
1X,500,true,R18,astral_3_v5.7.7,67570244,0.6945240415253366
1X,500,true,R19,astral_3_v5.7.7,68415960,0.7032167745914277
1X,500,true,R1,astral_3_v5.7.7,67540435,0.6942176482680645
1X,500,true,R20,astral_3_v5.7.7,68504747,0.7041293760920958
1X,500,true,R2,astral_3_v5.7.7,68185144,0.7008443211018605
1X,500,true,R3,astral_3_v5.7.7,68285032,0.7018710247713023
1X,500,true,R4,astral_3_v5.7.7,68505880,0.7041410216877377
1X,500,true,R5,astral_3_v5.7.7,68718259,0.7063239695754959
1X,500,true,R6,astral_3_v5.7.7,68019641,0.6991431904615069
1X,500,true,R7,astral_3_v5.7.7,68039545,0.6993477746942132
1X,500,true,R8,astral_3_v5.7.7,68202191,0.7010195395210196
1X,500,true,R9,astral_3_v5.7.7,67857461,0.6974762154383801
1X,50,500,R10,astral_3_v5.7.7,6051129,0.621968239284613
1X,50,500,R11,astral_3_v5.7.7,6282869,0.6457877479699866
1X,50,500,R12,astral_3_v5.7.7,6123435,0.629400246685168
1X,50,500,R13,astral_3_v5.7.7,6255668,0.6429918799465515
1X,50,500,R14,astral_3_v5.7.7,6321678,0.6497767499229109
1X,50,500,R15,astral_3_v5.7.7,6241057,0.6414900812005345
1X,50,500,R16,astral_3_v5.7.7,6003733,0.617096618357488
1X,50,500,R17,astral_3_v5.7.7,6211096,0.638410525233837
1X,50,500,R18,astral_3_v5.7.7,6189276,0.6361677459142769
1X,50,500,R19,astral_3_v5.7.7,6300796,0.6476303833898653
1X,50,500,R1,astral_3_v5.7.7,6205123,0.6377965875218419
1X,50,500,R20,astral_3_v5.7.7,6349695,0.6526564909034844
1X,50,500,R2,astral_3_v5.7.7,6141758,0.6312835851577757
1X,50,500,R3,astral_3_v5.7.7,6241938,0.6415806352143077
1X,50,500,R4,astral_3_v5.7.7,6167979,0.6339787234042553
1X,50,500,R5,astral_3_v5.7.7,6220869,0.6394150477952513
1X,50,500,R6,astral_3_v5.7.7,6272794,0.6447521841915922
1X,50,500,R7,astral_3_v5.7.7,6183223,0.6355455853633467
1X,50,500,R8,astral_3_v5.7.7,6257566,0.6431869668002878
1X,50,500,R9,astral_3_v5.7.7,6075992,0.6245237948401686
1X,50,true,R10,astral_3_v5.7.7,6785280,0.6974283071230343
1X,50,true,R11,astral_3_v5.7.7,6885241,0.7077028471579813
1X,50,true,R12,astral_3_v5.7.7,6757695,0.6945929694727104
1X,50,true,R13,astral_3_v5.7.7,6891397,0.7083355946140405
1X,50,true,R14,astral_3_v5.7.7,6867942,0.7059247610237435
1X,50,true,R15,astral_3_v5.7.7,6791862,0.698104841196423
1X,50,true,R16,astral_3_v5.7.7,6660744,0.6846278137526981
1X,50,true,R17,astral_3_v5.7.7,6857891,0.7048916640970295
1X,50,true,R18,astral_3_v5.7.7,6781839,0.6970746222633364
1X,50,true,R19,astral_3_v5.7.7,7001248,0.7196266831123446
1X,50,true,R1,astral_3_v5.7.7,6816361,0.7006229828348237
1X,50,true,R20,astral_3_v5.7.7,6963686,0.7157658546613218
1X,50,true,R2,astral_3_v5.7.7,6998349,0.7193287079864323
1X,50,true,R3,astral_3_v5.7.7,6792696,0.698190564292322
1X,50,true,R4,astral_3_v5.7.7,6891731,0.7083699249665947
1X,50,true,R5,astral_3_v5.7.7,6819248,0.7009197245348957
1X,50,true,R6,astral_3_v5.7.7,7004501,0.7199610443005448
1X,50,true,R7,astral_3_v5.7.7,6887765,0.707962277726385
1X,50,true,R8,astral_3_v5.7.7,6966130,0.7160170623907904
1X,50,true,R9,astral_3_v5.7.7,6808490,0.6998139582690924
2X,1000,500,R10,astral_3_v5.7.7,132684340,0.6819012231472916
