NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NL,I1,I2,FN,FP,RF
1000,2000000,0.000001,19,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,12,12,0.012024
1000,2000000,0.000001,19,truegenetrees,250,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,20,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,25,25,0.025050
1000,2000000,0.000001,20,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,31,31,0.031062
1000,2000000,0.000001,20,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,10,10,0.010020
1000,2000000,0.000001,20,truegenetrees,250,astral_3_v5.7.7,1001,998,998,14,14,0.014028
1000,2000000,0.000001,21,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,32,32,0.032064
1000,2000000,0.000001,21,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,46,46,0.046092
1000,2000000,0.000001,21,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,14,14,0.014028
1000,2000000,0.000001,21,truegenetrees,250,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,22,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,17,17,0.017034
1000,2000000,0.000001,22,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,25,25,0.025050
1000,2000000,0.000001,22,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,7,7,0.007014
1000,2000000,0.000001,22,truegenetrees,250,astral_3_v5.7.7,1001,998,998,19,19,0.019038
1000,2000000,0.000001,23,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,26,26,0.026052
1000,2000000,0.000001,23,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,45,45,0.045090
1000,2000000,0.000001,23,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,11,11,0.011022
1000,2000000,0.000001,23,truegenetrees,250,astral_3_v5.7.7,1001,998,998,20,20,0.020040
1000,2000000,0.000001,24,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,16,16,0.016032
1000,2000000,0.000001,24,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,24,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,5,5,0.005010
1000,2000000,0.000001,24,truegenetrees,250,astral_3_v5.7.7,1001,998,998,11,11,0.011022
1000,2000000,0.000001,25,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,14,14,0.014028
1000,2000000,0.000001,25,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,25,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,12,12,0.012024
1000,2000000,0.000001,25,truegenetrees,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,26,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,16,16,0.016032
1000,2000000,0.000001,26,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,26,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,9,9,0.009018
1000,2000000,0.000001,26,truegenetrees,250,astral_3_v5.7.7,1001,998,998,18,18,0.018036
1000,2000000,0.000001,27,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,80,80,0.080160
