NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NODE,real,user,sys
200,10000000,0.0000001,09,estimatedgenetre,250,fastral,heron04,0m27.357s,0m33.866s,0m6.233s
200,10000000,0.0000001,09,truegenetrees,1000,fastral,heron06,1m8.529s,1m42.987s,0m14.071s
200,10000000,0.0000001,09,truegenetrees,250,fastral,heron04,0m22.157s,0m29.954s,0m6.562s
200,10000000,0.0000001,10,estimatedgenetre,1000,fastral,heron01,1m14.068s,1m48.910s,0m13.922s
200,10000000,0.0000001,10,estimatedgenetre,250,fastral,heron03,0m29.169s,0m35.494s,0m5.939s
200,10000000,0.0000001,10,truegenetrees,1000,fastral,heron01,1m11.105s,1m44.606s,0m14.493s
200,10000000,0.0000001,10,truegenetrees,250,fastral,heron03,0m22.758s,0m30.505s,0m6.269s
200,10000000,0.0000001,11,estimatedgenetre,1000,fastral,heron03,1m9.181s,1m42.224s,0m14.721s
200,10000000,0.0000001,11,estimatedgenetre,250,fastral,heron04,0m25.095s,0m31.395s,0m6.334s
200,10000000,0.0000001,11,truegenetrees,1000,fastral,heron03,1m9.415s,1m45.166s,0m15.053s
200,10000000,0.0000001,11,truegenetrees,250,fastral,heron04,0m22.591s,0m29.769s,0m6.621s
200,10000000,0.0000001,12,estimatedgenetre,1000,fastral,heron04,1m13.787s,1m57.124s,0m14.835s
200,10000000,0.0000001,12,estimatedgenetre,250,fastral,heron03,0m28.268s,0m34.810s,0m6.094s
200,10000000,0.0000001,12,truegenetrees,1000,fastral,heron04,1m9.095s,1m40.255s,0m15.322s
200,10000000,0.0000001,12,truegenetrees,250,fastral,heron03,0m22.458s,0m30.643s,0m6.612s
200,10000000,0.0000001,13,estimatedgenetre,1000,fastral,heron05,1m8.677s,1m40.422s,0m14.260s
200,10000000,0.0000001,13,estimatedgenetre,250,fastral,heron04,0m26.321s,0m33.361s,0m6.499s
200,10000000,0.0000001,13,truegenetrees,1000,fastral,heron05,1m8.570s,1m37.015s,0m13.683s
200,10000000,0.0000001,13,truegenetrees,250,fastral,heron04,0m22.578s,0m29.286s,0m6.391s
200,10000000,0.0000001,14,estimatedgenetre,1000,fastral,heron10,1m9.980s,1m43.460s,0m14.633s
200,10000000,0.0000001,14,estimatedgenetre,250,fastral,heron03,0m26.808s,0m32.430s,0m6.398s
200,10000000,0.0000001,14,truegenetrees,1000,fastral,heron10,1m9.451s,1m44.659s,0m14.394s
200,10000000,0.0000001,14,truegenetrees,250,fastral,heron03,0m22.449s,0m29.638s,0m6.735s
200,10000000,0.0000001,15,estimatedgenetre,1000,fastral,heron07,1m7.899s,1m40.144s,0m14.116s
200,10000000,0.0000001,15,estimatedgenetre,250,fastral,heron04,0m25.192s,0m31.235s,0m6.814s
200,10000000,0.0000001,15,truegenetrees,1000,fastral,heron07,1m9.199s,1m44.307s,0m15.291s
200,10000000,0.0000001,15,truegenetrees,250,fastral,heron04,0m22.618s,0m30.874s,0m6.288s
200,10000000,0.0000001,16,estimatedgenetre,1000,fastral,heron06,1m14.453s,1m52.102s,0m15.294s
200,10000000,0.0000001,16,estimatedgenetre,250,fastral,heron03,0m29.199s,0m35.323s,0m6.431s
200,10000000,0.0000001,16,truegenetrees,1000,fastral,heron06,1m9.024s,1m43.455s,0m15.297s
200,10000000,0.0000001,16,truegenetrees,250,fastral,heron03,0m22.093s,0m29.236s,0m6.358s
200,10000000,0.0000001,17,estimatedgenetre,1000,fastral,heron10,1m7.582s,1m40.456s,0m14.194s
200,10000000,0.0000001,17,estimatedgenetre,250,fastral,heron04,0m24.622s,0m30.092s,0m6.485s
200,10000000,0.0000001,17,truegenetrees,1000,fastral,heron10,1m9.405s,1m41.773s,0m14.598s
200,10000000,0.0000001,17,truegenetrees,250,fastral,heron04,0m22.463s,0m29.619s,0m6.302s
200,10000000,0.0000001,18,estimatedgenetre,1000,fastral,heron08,1m10.495s,1m39.872s,0m13.950s
200,10000000,0.0000001,18,estimatedgenetre,250,fastral,heron03,0m25.752s,0m32.115s,0m6.584s
200,10000000,0.0000001,18,truegenetrees,1000,fastral,heron08,1m9.327s,1m46.002s,0m14.885s
200,10000000,0.0000001,18,truegenetrees,250,fastral,heron03,0m22.765s,0m30.637s,0m6.248s
200,10000000,0.0000001,19,estimatedgenetre,1000,fastral,heron03,1m8.792s,1m49.622s,0m15.848s
200,10000000,0.0000001,19,estimatedgenetre,250,fastral,heron04,0m24.940s,0m31.119s,0m6.590s
200,10000000,0.0000001,19,truegenetrees,1000,fastral,heron03,1m8.710s,1m38.702s,0m14.333s
200,10000000,0.0000001,19,truegenetrees,250,fastral,heron04,0m22.376s,0m28.014s,0m6.530s
200,10000000,0.0000001,20,estimatedgenetre,1000,fastral,heron07,1m10.958s,1m44.660s,0m14.481s
200,10000000,0.0000001,20,estimatedgenetre,250,fastral,heron03,0m26.655s,0m31.393s,0m6.131s
200,10000000,0.0000001,20,truegenetrees,1000,fastral,heron07,1m8.956s,1m44.307s,0m14.308s
200,10000000,0.0000001,20,truegenetrees,250,fastral,heron03,0m22.654s,0m29.763s,0m6.627s
200,10000000,0.0000001,21,estimatedgenetre,1000,fastral,heron01,1m8.877s,1m47.871s,0m15.127s
200,10000000,0.0000001,21,estimatedgenetre,250,fastral,heron04,0m24.691s,0m30.374s,0m6.775s
200,10000000,0.0000001,21,truegenetrees,1000,fastral,heron01,1m9.345s,1m45.258s,0m14.763s
200,10000000,0.0000001,21,truegenetrees,250,fastral,heron04,0m22.705s,0m30.363s,0m6.721s
200,10000000,0.0000001,22,estimatedgenetre,1000,fastral,heron05,1m6.881s,1m42.365s,0m14.654s
200,10000000,0.0000001,22,estimatedgenetre,250,fastral,heron03,0m23.600s,0m30.603s,0m6.625s
200,10000000,0.0000001,22,truegenetrees,1000,fastral,heron05,1m8.929s,1m43.520s,0m14.869s
200,10000000,0.0000001,22,truegenetrees,250,fastral,heron03,0m22.477s,0m29.423s,0m6.288s
200,10000000,0.0000001,23,estimatedgenetre,1000,fastral,heron04,1m5.624s,1m37.375s,0m14.600s
200,10000000,0.0000001,23,estimatedgenetre,250,fastral,heron04,0m23.268s,0m28.795s,0m5.967s
200,10000000,0.0000001,23,truegenetrees,1000,fastral,heron04,1m9.248s,1m44.036s,0m14.978s
200,10000000,0.0000001,23,truegenetrees,250,fastral,heron04,0m22.597s,0m31.122s,0m6.258s
200,10000000,0.0000001,24,estimatedgenetre,1000,fastral,heron10,1m16.651s,1m45.532s,0m12.997s
200,10000000,0.0000001,24,estimatedgenetre,250,fastral,heron03,0m36.299s,0m43.306s,0m6.400s
200,10000000,0.0000001,24,truegenetrees,1000,fastral,heron10,1m8.843s,1m45.514s,0m15.113s
200,10000000,0.0000001,24,truegenetrees,250,fastral,heron03,0m22.508s,0m30.505s,0m6.219s
200,10000000,0.0000001,25,estimatedgenetre,1000,fastral,heron05,1m10.220s,1m33.251s,0m14.405s
200,10000000,0.0000001,25,estimatedgenetre,250,fastral,heron04,0m26.070s,0m30.911s,0m6.028s
200,10000000,0.0000001,25,truegenetrees,1000,fastral,heron05,1m8.901s,1m44.893s,0m14.498s
200,10000000,0.0000001,25,truegenetrees,250,fastral,heron04,0m22.468s,0m31.053s,0m6.855s
200,10000000,0.0000001,26,estimatedgenetre,1000,fastral,heron08,1m13.134s,1m51.344s,0m15.024s
200,10000000,0.0000001,26,estimatedgenetre,250,fastral,heron04,0m28.059s,0m33.733s,0m5.891s
200,10000000,0.0000001,26,truegenetrees,1000,fastral,heron08,1m8.302s,1m43.926s,0m14.190s
200,10000000,0.0000001,26,truegenetrees,250,fastral,heron04,0m22.737s,0m30.081s,0m6.332s
200,10000000,0.0000001,27,estimatedgenetre,1000,fastral,heron03,1m6.033s,1m36.055s,0m16.355s
200,10000000,0.0000001,27,estimatedgenetre,250,fastral,heron07,0m23.873s,0m30.225s,0m6.003s
200,10000000,0.0000001,27,truegenetrees,1000,fastral,heron03,1m9.191s,1m44.964s,0m14.729s
200,10000000,0.0000001,27,truegenetrees,250,fastral,heron07,0m24.917s,0m30.766s,0m6.098s
200,10000000,0.0000001,28,estimatedgenetre,1000,fastral,heron07,1m7.614s,1m38.791s,0m14.413s
200,10000000,0.0000001,28,estimatedgenetre,250,fastral,heron03,0m24.935s,0m29.890s,0m6.588s
200,10000000,0.0000001,28,truegenetrees,1000,fastral,heron07,1m9.365s,1m40.420s,0m16.007s
200,10000000,0.0000001,28,truegenetrees,250,fastral,heron03,0m22.467s,0m30.029s,0m6.116s
200,10000000,0.0000001,29,estimatedgenetre,1000,fastral,heron04,1m11.917s,1m50.257s,0m13.848s
200,10000000,0.0000001,29,estimatedgenetre,250,fastral,heron04,0m28.374s,0m34.491s,0m6.950s
200,10000000,0.0000001,29,truegenetrees,1000,fastral,heron04,1m9.911s,1m45.106s,0m14.436s
200,10000000,0.0000001,29,truegenetrees,250,fastral,heron04,0m23.007s,0m30.005s,0m6.412s
200,10000000,0.0000001,30,estimatedgenetre,1000,fastral,heron01,1m7.708s,1m40.788s,0m15.361s
200,10000000,0.0000001,30,estimatedgenetre,250,fastral,heron07,0m24.708s,0m30.348s,0m6.570s
200,10000000,0.0000001,30,truegenetrees,1000,fastral,heron01,1m9.946s,1m45.449s,0m15.041s
200,10000000,0.0000001,30,truegenetrees,250,fastral,heron07,0m22.760s,0m31.382s,0m6.144s
200,10000000,0.0000001,31,estimatedgenetre,1000,fastral,heron03,1m7.936s,1m42.119s,0m14.212s
200,10000000,0.0000001,31,estimatedgenetre,250,fastral,heron03,0m24.167s,0m31.233s,0m6.176s
200,10000000,0.0000001,31,truegenetrees,1000,fastral,heron03,1m9.365s,1m46.660s,0m15.056s
200,10000000,0.0000001,31,truegenetrees,250,fastral,heron03,0m22.572s,0m29.475s,0m6.353s
200,10000000,0.0000001,32,estimatedgenetre,1000,fastral,heron06,1m10.380s,1m38.773s,0m14.435s
200,10000000,0.0000001,32,estimatedgenetre,250,fastral,heron04,0m26.375s,0m33.902s,0m6.488s
200,10000000,0.0000001,32,truegenetrees,1000,fastral,heron06,1m8.598s,1m45.175s,0m15.838s
200,10000000,0.0000001,32,truegenetrees,250,fastral,heron04,0m22.328s,0m30.417s,0m6.188s
200,10000000,0.0000001,33,estimatedgenetre,1000,fastral,heron05,1m7.592s,1m40.565s,0m15.335s
200,10000000,0.0000001,33,estimatedgenetre,250,fastral,heron07,0m24.232s,0m30.791s,0m6.267s
200,10000000,0.0000001,33,truegenetrees,1000,fastral,heron05,1m9.931s,1m46.693s,0m14.756s
200,10000000,0.0000001,33,truegenetrees,250,fastral,heron07,0m22.919s,0m31.486s,0m6.475s
200,10000000,0.0000001,34,estimatedgenetre,1000,fastral,heron07,1m11.667s,1m42.668s,0m14.534s
200,10000000,0.0000001,34,estimatedgenetre,250,fastral,heron03,0m27.680s,0m34.065s,0m6.031s
200,10000000,0.0000001,34,truegenetrees,1000,fastral,heron07,1m9.044s,1m39.798s,0m14.573s
200,10000000,0.0000001,34,truegenetrees,250,fastral,heron03,0m23.106s,0m30.523s,0m6.381s
200,10000000,0.0000001,35,estimatedgenetre,1000,fastral,heron01,1m13.389s,1m53.364s,0m14.835s
200,10000000,0.0000001,35,estimatedgenetre,250,fastral,heron04,0m30.851s,0m37.920s,0m6.623s
200,10000000,0.0000001,35,truegenetrees,1000,fastral,heron01,1m8.663s,1m43.102s,0m14.986s
200,10000000,0.0000001,35,truegenetrees,250,fastral,heron04,0m22.663s,0m29.772s,0m6.330s
200,10000000,0.0000001,36,estimatedgenetre,1000,fastral,heron08,1m8.607s,1m42.083s,0m15.342s
200,10000000,0.0000001,36,estimatedgenetre,250,fastral,heron07,0m24.942s,0m31.707s,0m6.582s
200,10000000,0.0000001,36,truegenetrees,1000,fastral,heron08,1m9.253s,1m44.726s,0m15.267s
200,10000000,0.0000001,36,truegenetrees,250,fastral,heron07,0m22.726s,0m29.775s,0m6.646s
200,10000000,0.0000001,37,estimatedgenetre,1000,fastral,heron03,1m9.478s,1m39.608s,0m14.738s
200,10000000,0.0000001,37,estimatedgenetre,250,fastral,heron03,0m25.778s,0m31.920s,0m6.505s
200,10000000,0.0000001,37,truegenetrees,1000,fastral,heron03,1m9.408s,1m46.758s,0m15.582s
200,10000000,0.0000001,37,truegenetrees,250,fastral,heron03,0m24.559s,0m30.151s,0m5.913s
200,10000000,0.0000001,38,estimatedgenetre,1000,fastral,heron04,1m11.508s,1m44.288s,0m14.123s
200,10000000,0.0000001,38,estimatedgenetre,250,fastral,heron07,0m27.262s,0m33.991s,0m6.323s
200,10000000,0.0000001,38,truegenetrees,1000,fastral,heron04,1m8.980s,1m46.198s,0m14.598s
200,10000000,0.0000001,38,truegenetrees,250,fastral,heron07,0m22.624s,0m29.522s,0m6.622s
200,10000000,0.0000001,39,estimatedgenetre,1000,fastral,heron05,1m8.827s,1m42.622s,0m14.784s
200,10000000,0.0000001,39,estimatedgenetre,250,fastral,heron03,0m24.384s,0m29.689s,0m6.510s
200,10000000,0.0000001,39,truegenetrees,1000,fastral,heron05,1m9.223s,1m44.334s,0m14.960s
200,10000000,0.0000001,39,truegenetrees,250,fastral,heron03,0m22.503s,0m30.080s,0m6.000s
200,10000000,0.0000001,40,estimatedgenetre,1000,fastral,heron08,1m5.767s,1m38.285s,0m15.418s
200,10000000,0.0000001,40,estimatedgenetre,250,fastral,heron04,0m23.457s,0m29.331s,0m6.044s
200,10000000,0.0000001,40,truegenetrees,1000,fastral,heron08,1m9.494s,1m45.597s,0m14.832s
200,10000000,0.0000001,40,truegenetrees,250,fastral,heron04,0m22.477s,0m30.566s,0m6.283s
200,10000000,0.0000001,41,estimatedgenetre,1000,fastral,heron03,1m7.709s,1m41.028s,0m14.044s
200,10000000,0.0000001,41,estimatedgenetre,250,fastral,heron07,0m24.848s,0m31.759s,0m6.119s
200,10000000,0.0000001,41,truegenetrees,1000,fastral,heron03,1m9.083s,1m44.607s,0m14.227s
200,10000000,0.0000001,41,truegenetrees,250,fastral,heron07,0m22.442s,0m30.047s,0m5.940s
200,10000000,0.0000001,42,estimatedgenetre,1000,fastral,heron07,1m8.099s,1m34.763s,0m15.668s
200,10000000,0.0000001,42,estimatedgenetre,250,fastral,heron04,0m25.228s,0m30.899s,0m6.171s
200,10000000,0.0000001,42,truegenetrees,1000,fastral,heron07,1m9.454s,1m44.787s,0m14.191s
200,10000000,0.0000001,42,truegenetrees,250,fastral,heron04,0m22.484s,0m30.066s,0m6.055s
200,10000000,0.0000001,43,estimatedgenetre,1000,fastral,heron05,1m8.305s,1m43.124s,0m14.658s
200,10000000,0.0000001,43,estimatedgenetre,250,fastral,heron03,0m24.041s,0m30.195s,0m5.801s
