NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,QS,NQS
1000,2000000,0.000001,10,truegenetrees,1000,astral_3_v5.7.7,25810621610911,0.6206969319813649
1000,2000000,0.000001,10,truegenetrees,250,astral_3_v5.7.7,6452401146115,0.6206724744069835
1000,2000000,0.000001,11,estimatedgenetre,1000,astral_3_v5.7.7,19790268086068,0.47600465730993036
1000,2000000,0.000001,11,estimatedgenetre,250,astral_3_v5.7.7,4901757842239,0.471524205736822
1000,2000000,0.000001,11,truegenetrees,1000,astral_3_v5.7.7,23507433718853,0.5653095926166788
1000,2000000,0.000001,11,truegenetrees,250,astral_3_v5.7.7,5866831416464,0.5643450693355944
1000,2000000,0.000001,12,estimatedgenetre,1000,astral_3_v5.7.7,23712859826137,0.5702501440824818
1000,2000000,0.000001,12,estimatedgenetre,250,astral_3_v5.7.7,5928044644933,0.5702344299362171
1000,2000000,0.000001,12,truegenetrees,1000,astral_3_v5.7.7,25522005598954,0.6137562594224879
1000,2000000,0.000001,12,truegenetrees,250,astral_3_v5.7.7,6368347416612,0.6125871376319794
1000,2000000,0.000001,13,estimatedgenetre,1000,astral_3_v5.7.7,21557651761455,0.5310210179590611
1000,2000000,0.000001,13,estimatedgenetre,250,astral_3_v5.7.7,5501874347009,0.5404736617287244
1000,2000000,0.000001,13,truegenetrees,1000,astral_3_v5.7.7,26498849625995,0.637247522040989
1000,2000000,0.000001,13,truegenetrees,250,astral_3_v5.7.7,6607644105668,0.635605679838273
1000,2000000,0.000001,14,estimatedgenetre,1000,astral_3_v5.7.7,25596708715081,0.6155527619421477
1000,2000000,0.000001,14,estimatedgenetre,250,astral_3_v5.7.7,6403828742980,0.6160001816556085
1000,2000000,0.000001,14,truegenetrees,1000,astral_3_v5.7.7,27740204667823,0.6670997773480258
1000,2000000,0.000001,14,truegenetrees,250,astral_3_v5.7.7,6927622929024,0.6663852367121946
1000,2000000,0.000001,15,estimatedgenetre,1000,astral_3_v5.7.7,23204315849403,0.5580231704298636
1000,2000000,0.000001,15,estimatedgenetre,250,astral_3_v5.7.7,5804212481745,0.5583262396308305
1000,2000000,0.000001,15,truegenetrees,1000,astral_3_v5.7.7,25113438561976,0.6039309901909341
1000,2000000,0.000001,15,truegenetrees,250,astral_3_v5.7.7,6292778560050,0.6053179818358175
1000,2000000,0.000001,16,estimatedgenetre,1000,astral_3_v5.7.7,22192266926334,0.5336976529145784
1000,2000000,0.000001,16,estimatedgenetre,250,astral_3_v5.7.7,5572426803754,0.5360328035068688
1000,2000000,0.000001,16,truegenetrees,1000,astral_3_v5.7.7,25875827303717,0.622265006322329
1000,2000000,0.000001,16,truegenetrees,250,astral_3_v5.7.7,6490691498204,0.6243557183713336
1000,2000000,0.000001,17,estimatedgenetre,1000,astral_3_v5.7.7,21158075355940,0.508811979727912
1000,2000000,0.000001,17,estimatedgenetre,250,astral_3_v5.7.7,5293752032051,0.5092191808955845
1000,2000000,0.000001,17,truegenetrees,1000,astral_3_v5.7.7,23663244355889,0.5690565455508702
1000,2000000,0.000001,17,truegenetrees,250,astral_3_v5.7.7,5893853335879,0.566944374804479
1000,2000000,0.000001,18,estimatedgenetre,1000,astral_3_v5.7.7,22795157594311,0.5481806907292518
1000,2000000,0.000001,18,estimatedgenetre,250,astral_3_v5.7.7,5744356076896,0.5525638625658826
1000,2000000,0.000001,18,truegenetrees,1000,astral_3_v5.7.7,24958939316988,0.6002155737703954
1000,2000000,0.000001,18,truegenetrees,250,astral_3_v5.7.7,6284321161385,0.6045044436757463
1000,2000000,0.000001,19,estimatedgenetre,1000,astral_3_v5.7.7,22184949687383,0.5335063376117404
1000,2000000,0.000001,19,estimatedgenetre,250,astral_3_v5.7.7,5508266535332,0.5298538238336555
1000,2000000,0.000001,19,truegenetrees,1000,astral_3_v5.7.7,23658493651307,0.5689423000358551
1000,2000000,0.000001,19,truegenetrees,250,astral_3_v5.7.7,5886987773910,0.5662839593654824
1000,2000000,0.000001,20,estimatedgenetre,1000,astral_3_v5.7.7,24509366776646,0.5894082011633668
1000,2000000,0.000001,20,estimatedgenetre,250,astral_3_v5.7.7,6084092000594,0.585244706341447
1000,2000000,0.000001,20,truegenetrees,1000,astral_3_v5.7.7,27224123755422,0.6546890015127771
1000,2000000,0.000001,20,truegenetrees,250,astral_3_v5.7.7,6727454459258,0.647130534995032
1000,2000000,0.000001,21,estimatedgenetre,1000,astral_3_v5.7.7,20135549865022,0.4842356871945864
1000,2000000,0.000001,21,estimatedgenetre,250,astral_3_v5.7.7,5019412912220,0.4828298207070028
1000,2000000,0.000001,21,truegenetrees,1000,astral_3_v5.7.7,23332091213292,0.5610929349596765
1000,2000000,0.000001,21,truegenetrees,250,astral_3_v5.7.7,5820891229573,0.5599259687826902
1000,2000000,0.000001,22,estimatedgenetre,1000,astral_3_v5.7.7,25490757002513,0.6130047894179277
1000,2000000,0.000001,22,estimatedgenetre,250,astral_3_v5.7.7,6396102604954,0.6152569780581645
1000,2000000,0.000001,22,truegenetrees,1000,astral_3_v5.7.7,26279955147091,0.6319835212923229
1000,2000000,0.000001,22,truegenetrees,250,astral_3_v5.7.7,6588845314798,0.6337973775054015
1000,2000000,0.000001,23,estimatedgenetre,1000,astral_3_v5.7.7,21971269521465,0.528367751340786
1000,2000000,0.000001,23,estimatedgenetre,250,astral_3_v5.7.7,5480818624803,0.5272135644401164
1000,2000000,0.000001,23,truegenetrees,1000,astral_3_v5.7.7,25401004336111,0.6108464065043865
1000,2000000,0.000001,23,truegenetrees,250,astral_3_v5.7.7,6324840214014,0.6084020718743605
1000,2000000,0.000001,24,estimatedgenetre,1000,astral_3_v5.7.7,22470919839124,0.5403877857384879
1000,2000000,0.000001,24,estimatedgenetre,250,astral_3_v5.7.7,5637425745196,0.5422813351415701
1000,2000000,0.000001,24,truegenetrees,1000,astral_3_v5.7.7,24340562263039,0.5853447680230606
1000,2000000,0.000001,24,truegenetrees,250,astral_3_v5.7.7,6119005943684,0.5886023627443107
1000,2000000,0.000001,25,estimatedgenetre,1000,astral_3_v5.7.7,21966928754212,0.5287700441624081
1000,2000000,0.000001,25,estimatedgenetre,250,astral_3_v5.7.7,5503751373448,0.5297166083406809
1000,2000000,0.000001,25,truegenetrees,1000,astral_3_v5.7.7,24522091010735,0.5897101931747624
1000,2000000,0.000001,25,truegenetrees,250,astral_3_v5.7.7,6138231115160,0.5904516796855074
1000,2000000,0.000001,26,estimatedgenetre,1000,astral_3_v5.7.7,21863074018324,0.5257658373041517
1000,2000000,0.000001,26,estimatedgenetre,250,astral_3_v5.7.7,5455280006498,0.5247569191747788
1000,2000000,0.000001,26,truegenetrees,1000,astral_3_v5.7.7,24283462763750,0.5839716323984862
1000,2000000,0.000001,26,truegenetrees,250,astral_3_v5.7.7,6038429652447,0.5808515293835054
1000,2000000,0.000001,27,estimatedgenetre,1000,astral_3_v5.7.7,19376507324414,0.4659689419104875
1000,2000000,0.000001,27,estimatedgenetre,250,astral_3_v5.7.7,4857193632957,0.46722584936597744
1000,2000000,0.000001,27,truegenetrees,1000,astral_3_v5.7.7,24966537172457,0.6003982879122839
