NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF,QSCR,AVG_LPP,MED_LPP,AVG_QQS,MED_QQS
200,50,7,abayes,TQMC-ws_n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,7,bs,TQMC-ws_n2,10,10,0.10204081632653061,NA,NA,NA,NA,NA
200,50,7,abayes,TQMC-wh_n2,11,11,0.11224489795918367,77916619.18,0.8800907448979592,0.9999515,0.6549984693877551,0.663405
200,50,7,bs,TQMC-wh_n2,9,9,0.09183673469387756,40539847.29,0.9043185510204081,0.9999675,0.6652968367346939,0.6667335000000001
200,50,7,abayes,TQMC-wh_n1,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,7,bs,TQMC-wh_n1,9,9,0.09183673469387756,NA,NA,NA,NA,NA
200,50,7,abayes,TQMC-wh_n0,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,7,bs,TQMC-wh_n0,9,9,0.09183673469387756,NA,NA,NA,NA,NA
200,50,8,abayes,ASTER-wh,16,16,0.16326530612244897,60666685.85,0.8723033673469387,0.9971835,0.6311474489795919,0.6091115
200,50,8,bs,ASTER-wh,24,24,0.24489795918367346,32254575.46,0.8790641122448979,0.9975164999999999,0.6299408367346939,0.585485
200,50,8,abayes,ASTRID-ws,22,22,0.22448979591836735,NA,NA,NA,NA,NA
200,50,8,bs,ASTRID-ws,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,8,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,8,abayes,TQMC-n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,8,bs,TQMC-n2,24,24,0.24489795918367346,NA,NA,NA,NA,NA
200,50,8,abayes,TQMC-wn_n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,8,bs,TQMC-wn_n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,8,abayes,TQMC-ws_n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,8,bs,TQMC-ws_n2,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,8,abayes,TQMC-wh_n2,18,18,0.1836734693877551,60284350.32,0.8648570714285713,0.997287,0.6300347448979592,0.608068
200,50,8,bs,TQMC-wh_n2,22,22,0.22448979591836735,32118648.1,0.8605570204081631,0.9978505,0.6267102040816327,0.588864
200,50,8,abayes,TQMC-wh_n1,16,16,0.16326530612244897,NA,NA,NA,NA,NA
200,50,8,bs,TQMC-wh_n1,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,8,abayes,TQMC-wh_n0,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,8,bs,TQMC-wh_n0,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,9,abayes,ASTER-wh,6,6,0.061224489795918366,30783065.41,0.9278577551020408,1.0,0.7212060102040817,0.7590645
200,50,9,bs,ASTER-wh,4,4,0.04081632653061224,16522808.7,0.9330852551020409,1.0,0.742219142857143,0.792362
200,50,9,abayes,ASTRID-ws,9,9,0.09183673469387756,NA,NA,NA,NA,NA
200,50,9,bs,ASTRID-ws,4,4,0.04081632653061224,NA,NA,NA,NA,NA
200,50,9,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,9,abayes,TQMC-n2,7,7,0.07142857142857142,NA,NA,NA,NA,NA
200,50,9,bs,TQMC-n2,7,7,0.07142857142857142,NA,NA,NA,NA,NA
200,50,9,abayes,TQMC-wn_n2,7,7,0.07142857142857142,NA,NA,NA,NA,NA
200,50,9,bs,TQMC-wn_n2,7,7,0.07142857142857142,NA,NA,NA,NA,NA
200,50,9,abayes,TQMC-ws_n2,6,6,0.061224489795918366,NA,NA,NA,NA,NA
200,50,9,bs,TQMC-ws_n2,5,5,0.05102040816326531,NA,NA,NA,NA,NA
200,50,9,abayes,TQMC-wh_n2,6,6,0.061224489795918366,30780578.38,0.9277693469387757,1.0,0.7222044081632654,0.7590645
200,50,9,bs,TQMC-wh_n2,2,2,0.02040816326530612,16522307.36,0.9293387142857142,1.0,0.7414157857142858,0.7916615
200,50,9,abayes,TQMC-wh_n1,5,5,0.05102040816326531,NA,NA,NA,NA,NA
200,50,9,bs,TQMC-wh_n1,4,4,0.04081632653061224,NA,NA,NA,NA,NA
200,50,9,abayes,TQMC-wh_n0,5,5,0.05102040816326531,NA,NA,NA,NA,NA
200,50,9,bs,TQMC-wh_n0,4,4,0.04081632653061224,NA,NA,NA,NA,NA
200,50,10,abayes,ASTER-wh,10,10,0.10204081632653061,54934753.2,0.8853570102040815,0.9998355,0.6499712142857144,0.6216444999999999
200,50,10,bs,ASTER-wh,11,11,0.11224489795918367,30783042.89,0.8973780918367348,0.999986,0.6725580714285713,0.675771
200,50,10,abayes,ASTRID-ws,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,10,bs,ASTRID-ws,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,10,bs,ASTEROID,97,97,0.9897959183673469,NA,NA,NA,NA,NA
200,50,10,abayes,TQMC-n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,10,bs,TQMC-n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,10,abayes,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,10,bs,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,10,abayes,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,10,bs,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,10,abayes,TQMC-wh_n2,12,12,0.12244897959183673,54865437.29,0.8790632857142857,0.9998905,0.6511084693877551,0.633644
200,50,10,bs,TQMC-wh_n2,12,12,0.12244897959183673,30744500.27,0.8952864081632654,0.9999885,0.672367163265306,0.6860855
200,50,10,abayes,TQMC-wh_n1,10,10,0.10204081632653061,NA,NA,NA,NA,NA
200,50,10,bs,TQMC-wh_n1,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,10,abayes,TQMC-wh_n0,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,10,bs,TQMC-wh_n0,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,11,abayes,ASTER-wh,15,15,0.15306122448979592,56565439.9,0.9057699285714285,0.9999685,0.6795166632653062,0.6539395
200,50,11,bs,ASTER-wh,16,16,0.16326530612244897,28965777.42,0.9071861836734694,0.9999965,0.7037520510204082,0.7189695
200,50,11,abayes,ASTRID-ws,16,16,0.16326530612244897,NA,NA,NA,NA,NA
200,50,11,bs,ASTRID-ws,16,16,0.16326530612244897,NA,NA,NA,NA,NA
200,50,11,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,11,abayes,TQMC-n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,11,bs,TQMC-n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,11,abayes,TQMC-wn_n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,11,bs,TQMC-wn_n2,16,16,0.16326530612244897,NA,NA,NA,NA,NA
200,50,11,abayes,TQMC-ws_n2,16,16,0.16326530612244897,NA,NA,NA,NA,NA
200,50,11,bs,TQMC-ws_n2,16,16,0.16326530612244897,NA,NA,NA,NA,NA
200,50,11,abayes,TQMC-wh_n2,15,15,0.15306122448979592,56551626.82,0.893425,0.9999685,0.6766560918367347,0.6539395
200,50,11,bs,TQMC-wh_n2,15,15,0.15306122448979592,28847078.36,0.8978137142857142,0.9999965,0.7013548775510206,0.7309140000000001
200,50,11,abayes,TQMC-wh_n1,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,11,bs,TQMC-wh_n1,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,11,abayes,TQMC-wh_n0,14,14,0.14285714285714285,NA,NA,NA,NA,NA
200,50,11,bs,TQMC-wh_n0,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,12,abayes,ASTER-wh,14,14,0.14285714285714285,61126875.14,0.8872625204081632,0.9998485,0.6438740714285716,0.6378159999999999
200,50,12,bs,ASTER-wh,11,11,0.11224489795918367,29082525.55,0.900700306122449,0.999896,0.6649113163265307,0.6599595
200,50,12,abayes,ASTRID-ws,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,12,bs,ASTRID-ws,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,12,bs,ASTEROID,97,97,0.9897959183673469,NA,NA,NA,NA,NA
200,50,12,abayes,TQMC-n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,12,bs,TQMC-n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,12,abayes,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,12,bs,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
