NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF,QSWN,QSWH,DIFF_QSWN,DIFF_QSWH
200,50,11,bs,TQMC-wh_n0,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,12,abayes,ASTER-wh,14,14,0.14285714285714285,110871653.0,61126875.14,0.0037408002737681,0.00986911130867814
200,50,12,abayes,ASTRID-ws,13,13,0.1326530612244898,110705381.0,60823665.63,0.0022355102755832624,0.004859826641291859
200,50,12,abayes,TQMC-n2,11,11,0.11224489795918367,110778904.0,60951355.78,0.0029011270753844546,0.006969378912825992
200,50,12,abayes,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,12,abayes,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,12,abayes,TQMC-wh_n2,11,11,0.11224489795918367,110775083.0,60953634.4,0.0028665348825734926,0.00700702369589624
200,50,12,abayes,TQMC-wh_n1,14,14,0.14285714285714285,NA,NA,NA,NA
200,50,12,abayes,TQMC-wh_n0,15,15,0.15306122448979592,110760167.0,61122242.75,0.0027314976808021476,0.009792580199214071
200,50,12,bs,ASTER-wh,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,12,bs,ASTRID-ws,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,12,bs,TQMC-n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,12,bs,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,12,bs,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,12,bs,TQMC-wh_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,12,bs,TQMC-wh_n1,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,12,bs,TQMC-wh_n0,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,13,abayes,ASTER-wh,9,9,0.09183673469387756,115282830.0,52642662.8,0.0016797882802588148,0.005088488047137246
200,50,13,abayes,ASTRID-ws,10,10,0.10204081632653061,114198467.0,51852807.88,-0.0077421221660665075,-0.009991943775536187
200,50,13,abayes,TQMC-n2,11,11,0.11224489795918367,115095707.0,52562195.81,5.3897182491984675e-05,0.0035521591265417103
200,50,13,abayes,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,13,abayes,TQMC-ws_n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,13,abayes,TQMC-wh_n2,11,11,0.11224489795918367,115179807.0,52498392.2,0.000784632801962549,0.0023339784628757265
200,50,13,abayes,TQMC-wh_n1,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,13,abayes,TQMC-wh_n0,9,9,0.09183673469387756,115282830.0,52642662.8,0.0016797882802588148,0.005088488047137246
200,50,13,bs,ASTER-wh,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,13,bs,ASTRID-ws,14,14,0.14285714285714285,NA,NA,NA,NA
200,50,13,bs,TQMC-n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,13,bs,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,13,bs,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,13,bs,TQMC-wh_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,13,bs,TQMC-wh_n1,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,13,bs,TQMC-wh_n0,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,14,abayes,ASTER-wh,15,15,0.15306122448979592,108280006.0,61565980.81,0.0019780366759659935,0.00443103930166506
200,50,14,abayes,ASTRID-ws,18,18,0.1836734693877551,107609065.0,61140403.67,-0.004230571641855944,-0.0025121277430123013
200,50,14,abayes,TQMC-n2,18,18,0.1836734693877551,108206700.0,61381110.67,0.0012996935111478426,0.0014149368305762873
200,50,14,abayes,TQMC-wn_n2,18,18,0.1836734693877551,NA,NA,NA,NA
200,50,14,abayes,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,14,abayes,TQMC-wh_n2,14,14,0.14285714285714285,108332171.0,61521738.23,0.0024607498398644305,0.0037092344993029294
200,50,14,abayes,TQMC-wh_n1,19,19,0.19387755102040816,NA,NA,NA,NA
