NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF
200,50,10,bs,TQMC-wh_n1,11,11,0.11224489795918367
200,50,10,abayes,TQMC-wh_n1,10,10,0.10204081632653061
200,50,10,bs,TQMC-wh_n0,13,13,0.1326530612244898
200,50,10,abayes,TQMC-wh_n0,11,11,0.11224489795918367
200,50,11,bs,ASTER-wh,16,16,0.16326530612244897
200,50,11,abayes,ASTER-wh,15,15,0.15306122448979592
200,50,11,bs,ASTRID-ws,16,16,0.16326530612244897
200,50,11,abayes,ASTRID-ws,16,16,0.16326530612244897
200,50,11,bs,TQMC-wh_n2,15,15,0.15306122448979592
200,50,11,abayes,TQMC-wh_n2,15,15,0.15306122448979592
200,50,11,none_keeppoly,TQMC-n2,16,16,0.16326530612244897
200,50,11,none_refinepoly,TQMC-n2,17,17,0.17346938775510204
200,50,11,bs,TQMC-ws_n2,16,16,0.16326530612244897
200,50,11,abayes,TQMC-ws_n2,16,16,0.16326530612244897
200,50,11,bs,TQMC-wh_n1,15,15,0.15306122448979592
200,50,11,abayes,TQMC-wh_n1,13,13,0.1326530612244898
200,50,11,bs,TQMC-wh_n0,17,17,0.17346938775510204
200,50,11,abayes,TQMC-wh_n0,14,14,0.14285714285714285
200,50,12,bs,ASTER-wh,11,11,0.11224489795918367
200,50,12,abayes,ASTER-wh,14,14,0.14285714285714285
200,50,12,bs,ASTRID-ws,17,17,0.17346938775510204
200,50,12,abayes,ASTRID-ws,13,13,0.1326530612244898
200,50,12,bs,TQMC-wh_n2,12,12,0.12244897959183673
200,50,12,abayes,TQMC-wh_n2,11,11,0.11224489795918367
200,50,12,none_keeppoly,TQMC-n2,11,11,0.11224489795918367
200,50,12,none_refinepoly,TQMC-n2,11,11,0.11224489795918367
200,50,12,bs,TQMC-ws_n2,12,12,0.12244897959183673
200,50,12,abayes,TQMC-ws_n2,12,12,0.12244897959183673
200,50,12,bs,TQMC-wh_n1,11,11,0.11224489795918367
200,50,12,abayes,TQMC-wh_n1,14,14,0.14285714285714285
200,50,12,bs,TQMC-wh_n0,12,12,0.12244897959183673
200,50,12,abayes,TQMC-wh_n0,15,15,0.15306122448979592
200,50,13,bs,ASTER-wh,12,12,0.12244897959183673
200,50,13,abayes,ASTER-wh,9,9,0.09183673469387756
200,50,13,bs,ASTRID-ws,14,14,0.14285714285714285
200,50,13,abayes,ASTRID-ws,10,10,0.10204081632653061
200,50,13,bs,TQMC-wh_n2,12,12,0.12244897959183673
200,50,13,abayes,TQMC-wh_n2,11,11,0.11224489795918367
200,50,13,none_keeppoly,TQMC-n2,11,11,0.11224489795918367
200,50,13,none_refinepoly,TQMC-n2,11,11,0.11224489795918367
200,50,13,bs,TQMC-ws_n2,13,13,0.1326530612244898
200,50,13,abayes,TQMC-ws_n2,11,11,0.11224489795918367
200,50,13,bs,TQMC-wh_n1,12,12,0.12244897959183673
200,50,13,abayes,TQMC-wh_n1,12,12,0.12244897959183673
200,50,13,bs,TQMC-wh_n0,11,11,0.11224489795918367
200,50,13,abayes,TQMC-wh_n0,9,9,0.09183673469387756
200,50,14,bs,ASTER-wh,19,19,0.19387755102040816
200,50,14,abayes,ASTER-wh,15,15,0.15306122448979592
200,50,14,bs,ASTRID-ws,18,18,0.1836734693877551
200,50,14,abayes,ASTRID-ws,18,18,0.1836734693877551
