SCAL,NGEN,NBPS,REPL,MTHD,NL,I1,I2,FN,FP,RF
0.5X,1000,500,R6,fastral,48,45,45,4,4,0.088889
0.5X,1000,500,R7,fastral,48,45,45,7,7,0.155556
0.5X,1000,500,R8,fastral,48,45,45,6,6,0.133333
0.5X,1000,500,R9,fastral,48,45,45,2,2,0.044444
0.5X,1000,true,R10,fastral,48,45,45,2,2,0.044444
0.5X,1000,true,R11,fastral,48,45,45,2,2,0.044444
0.5X,1000,true,R12,fastral,48,45,45,4,4,0.088889
0.5X,1000,true,R13,fastral,48,45,45,1,1,0.022222
0.5X,1000,true,R14,fastral,48,45,45,3,3,0.066667
0.5X,1000,true,R15,fastral,48,45,45,2,2,0.044444
0.5X,1000,true,R16,fastral,48,45,45,0,0,0.000000
0.5X,1000,true,R17,fastral,48,45,45,4,4,0.088889
0.5X,1000,true,R18,fastral,48,45,45,1,1,0.022222
0.5X,1000,true,R19,fastral,48,45,45,1,1,0.022222
0.5X,1000,true,R1,fastral,48,45,45,0,0,0.000000
0.5X,1000,true,R20,fastral,48,45,45,3,3,0.066667
0.5X,1000,true,R2,fastral,48,45,45,2,2,0.044444
0.5X,1000,true,R3,fastral,48,45,45,1,1,0.022222
0.5X,1000,true,R4,fastral,48,45,45,2,2,0.044444
0.5X,1000,true,R5,fastral,48,45,45,2,2,0.044444
0.5X,1000,true,R6,fastral,48,45,45,0,0,0.000000
0.5X,1000,true,R7,fastral,48,45,45,3,3,0.066667
0.5X,1000,true,R8,fastral,48,45,45,3,3,0.066667
0.5X,1000,true,R9,fastral,48,45,45,0,0,0.000000
1X,1000,500,R10,fastral,48,45,45,3,3,0.066667
1X,1000,500,R11,fastral,48,45,45,1,1,0.022222
1X,1000,500,R12,fastral,48,45,45,6,6,0.133333
1X,1000,500,R13,fastral,48,45,45,4,4,0.088889
1X,1000,500,R14,fastral,48,45,45,2,2,0.044444
1X,1000,500,R15,fastral,48,45,45,5,5,0.111111
1X,1000,500,R16,fastral,48,45,45,0,0,0.000000
1X,1000,500,R17,fastral,48,45,45,1,1,0.022222
1X,1000,500,R18,fastral,48,45,45,6,6,0.133333
1X,1000,500,R19,fastral,48,45,45,2,2,0.044444
1X,1000,500,R1,fastral,48,45,45,4,4,0.088889
1X,1000,500,R20,fastral,48,45,45,4,4,0.088889
1X,1000,500,R2,fastral,48,45,45,4,4,0.088889
1X,1000,500,R3,fastral,48,45,45,3,3,0.066667
1X,1000,500,R4,fastral,48,45,45,4,4,0.088889
1X,1000,500,R5,fastral,48,45,45,2,2,0.044444
1X,1000,500,R6,fastral,48,45,45,4,4,0.088889
1X,1000,500,R7,fastral,48,45,45,0,0,0.000000
1X,1000,500,R8,fastral,48,45,45,2,2,0.044444
1X,1000,500,R9,fastral,48,45,45,5,5,0.111111
1X,1000,true,R10,fastral,48,45,45,2,2,0.044444
1X,1000,true,R11,fastral,48,45,45,1,1,0.022222
1X,1000,true,R12,fastral,48,45,45,1,1,0.022222
1X,1000,true,R13,fastral,48,45,45,1,1,0.022222
1X,1000,true,R14,fastral,48,45,45,1,1,0.022222
1X,1000,true,R15,fastral,48,45,45,4,4,0.088889
1X,1000,true,R16,fastral,48,45,45,0,0,0.000000
1X,1000,true,R17,fastral,48,45,45,2,2,0.044444
1X,1000,true,R18,fastral,48,45,45,1,1,0.022222
1X,1000,true,R19,fastral,48,45,45,2,2,0.044444
1X,1000,true,R1,fastral,48,45,45,0,0,0.000000
1X,1000,true,R20,fastral,48,45,45,1,1,0.022222
1X,1000,true,R2,fastral,48,45,45,2,2,0.044444
1X,1000,true,R3,fastral,48,45,45,2,2,0.044444
1X,1000,true,R4,fastral,48,45,45,1,1,0.022222
1X,1000,true,R5,fastral,48,45,45,1,1,0.022222
1X,1000,true,R6,fastral,48,45,45,1,1,0.022222
1X,1000,true,R7,fastral,48,45,45,0,0,0.000000
1X,1000,true,R8,fastral,48,45,45,1,1,0.022222
1X,1000,true,R9,fastral,48,45,45,1,1,0.022222
