SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
1X,100,500,R3,quartets,heron09,1m16.466s,2m50.496s,1m33.215s
1X,100,500,R4,quartets,heron05,1m8.246s,2m47.614s,1m17.297s
1X,100,500,R5,quartets,heron11,1m8.713s,3m0.282s,1m18.550s
1X,100,500,R6,quartets,heron01,1m11.789s,2m48.081s,1m25.365s
1X,100,500,R7,quartets,heron06,1m8.179s,2m54.508s,1m19.414s
1X,100,500,R8,quartets,heron02,1m11.020s,2m54.163s,1m21.580s
1X,100,500,R9,quartets,heron10,1m9.361s,2m44.969s,1m21.165s
1X,100,true,R10,quartets,heron04,1m13.546s,2m50.314s,1m26.247s
1X,100,true,R11,quartets,heron03,1m14.582s,2m53.949s,1m27.243s
1X,100,true,R12,quartets,heron09,1m12.886s,2m50.594s,1m26.268s
1X,100,true,R13,quartets,heron05,1m7.605s,2m59.319s,1m17.865s
1X,100,true,R14,quartets,heron11,1m10.203s,2m45.836s,1m21.007s
1X,100,true,R15,quartets,heron01,1m10.591s,2m59.251s,1m23.663s
1X,100,true,R16,quartets,heron06,1m9.850s,2m51.276s,1m22.219s
1X,100,true,R17,quartets,heron02,1m11.512s,2m54.301s,1m21.132s
1X,100,true,R18,quartets,heron07,1m11.534s,2m53.915s,1m24.375s
1X,100,true,R19,quartets,heron10,1m7.535s,2m43.458s,1m19.141s
1X,100,true,R1,quartets,heron09,1m11.744s,2m55.939s,1m24.430s
1X,100,true,R20,quartets,heron08,1m6.105s,2m47.089s,1m16.139s
1X,100,true,R2,quartets,heron05,1m7.504s,2m50.457s,1m17.416s
1X,100,true,R3,quartets,heron11,1m7.677s,2m47.024s,1m19.418s
1X,100,true,R4,quartets,heron01,1m11.241s,2m57.340s,1m23.990s
1X,100,true,R5,quartets,heron06,1m8.569s,2m45.279s,1m19.555s
1X,100,true,R6,quartets,heron02,1m10.962s,2m50.645s,1m20.701s
1X,100,true,R7,quartets,heron10,1m8.618s,2m49.344s,1m19.191s
1X,100,true,R8,quartets,heron07,1m11.797s,2m59.643s,1m23.738s
1X,100,true,R9,quartets,heron08,1m7.112s,2m46.593s,1m17.211s
1X,200,500,R10,quartets,heron09,2m24.332s,5m46.664s,2m50.681s
1X,200,500,R11,quartets,heron11,2m15.154s,5m55.339s,2m35.902s
1X,200,500,R12,quartets,heron05,2m12.759s,5m58.159s,2m34.293s
1X,200,500,R13,quartets,heron01,2m15.626s,5m34.806s,2m39.399s
1X,200,500,R14,quartets,heron06,2m12.580s,5m29.369s,2m34.993s
1X,200,500,R15,quartets,heron02,2m17.725s,5m53.377s,2m38.282s
1X,200,500,R16,quartets,heron00,4m7.906s,10m38.257s,4m44.709s
1X,200,500,R17,quartets,heron08,2m7.708s,6m3.148s,2m27.003s
1X,200,500,R18,quartets,heron10,2m12.944s,5m42.864s,2m36.347s
1X,200,500,R19,quartets,heron07,2m19.516s,5m30.407s,2m47.677s
