SCAL,NGEN,NBPS,REPL,MTHD,NODE,SEFN,SERF,NQSC,SECS,FRAC
0.5X,1000,true,R12,treeqmc_n1_v1.0.0,heron11,4,0.088889,0.6141878661732963,10.895,0.0
0.5X,1000,true,R12,treeqmc_n2_v1.0.0,heron11,4,0.088889,0.6140487511563367,10.875,0.0
0.5X,1000,true,R12,astral_3_v5.7.7,heron11,4,0.088889,0.6141878661732963,178.01,0.0
0.5X,1000,true,R12,fastral,heron11,4,0.088889,0.6141878661732963,17.529,0.0
0.5X,1000,true,R12,wqfm_v1.3,heron11,4,0.088889,0.6141878661732963,697.2479999999999,0.9461396805727661
0.5X,1000,true,R12,wqmc_v3.0,heron11,6,0.13333299999999998,0.613212185219447,661.1239999999999,0.9978370169589972
0.5X,1000,true,R12,TRUE,heron11,0,0.0,0.6136257888786103,0.0,0.0
0.5X,1000,true,R13,treeqmc_n0_v1.0.0,heron01,1,0.022222,0.6128457241237537,10.463,0.0
0.5X,1000,true,R13,treeqmc_n1_v1.0.0,heron01,2,0.044444,0.6126745862884161,11.263,0.0
0.5X,1000,true,R13,treeqmc_n2_v1.0.0,heron01,2,0.044444,0.6126745862884161,11.209,0.0
0.5X,1000,true,R13,astral_3_v5.7.7,heron01,1,0.022222,0.6128457241237537,179.774,0.0
0.5X,1000,true,R13,fastral,heron01,1,0.022222,0.6128457241237537,16.677,0.0
0.5X,1000,true,R13,wqfm_v1.3,heron01,1,0.022222,0.6128457241237537,700.7660000000001,0.9341948667600882
0.5X,1000,true,R13,wqmc_v3.0,heron01,7,0.155556,0.6120828348237229,656.043,0.9978797121530144
0.5X,1000,true,R13,TRUE,heron01,0,0.0,0.6128298797409806,0.0,0.0
0.5X,1000,true,R14,treeqmc_n0_v1.0.0,heron11,3,0.06666699999999999,0.6148774694213177,10.396,0.0
0.5X,1000,true,R14,treeqmc_n1_v1.0.0,heron11,1,0.022222,0.6149231884057971,11.199,0.0
0.5X,1000,true,R14,treeqmc_n2_v1.0.0,heron11,2,0.044444,0.6145738153972659,11.118,0.0
0.5X,1000,true,R14,astral_3_v5.7.7,heron11,3,0.06666699999999999,0.6149244937814781,189.533,0.0
0.5X,1000,true,R14,fastral,heron11,3,0.06666699999999999,0.6149244937814781,16.646,0.0
0.5X,1000,true,R14,wqfm_v1.3,heron11,1,0.022222,0.6149231884057971,679.5749999999999,0.9433366442261708
0.5X,1000,true,R14,wqmc_v3.0,heron11,4,0.088889,0.6141292681673348,642.4739999999999,0.9978115845933065
0.5X,1000,true,R14,TRUE,heron11,0,0.0,0.6148934525644979,0.0,0.0
0.5X,1000,true,R15,treeqmc_n0_v1.0.0,heron02,2,0.044444,0.6133531966286361,10.42,0.0
0.5X,1000,true,R15,treeqmc_n1_v1.0.0,heron02,2,0.044444,0.6133531966286361,10.861,0.0
0.5X,1000,true,R15,treeqmc_n2_v1.0.0,heron02,2,0.044444,0.6133155154692157,10.84,0.0
0.5X,1000,true,R15,astral_3_v5.7.7,heron02,3,0.06666699999999999,0.6132800236406619,191.107,0.0
0.5X,1000,true,R15,fastral,heron02,2,0.044444,0.6133531966286361,16.773,0.0
0.5X,1000,true,R15,wqfm_v1.3,heron02,3,0.06666699999999999,0.6132800236406619,716.5,0.930827634333566
0.5X,1000,true,R15,wqmc_v3.0,heron02,4,0.088889,0.6126447322438072,668.375,0.997850009351038
0.5X,1000,true,R15,TRUE,heron02,0,0.0,0.613239397677048,0.0,0.0
0.5X,1000,true,R16,treeqmc_n0_v1.0.0,heron03,1,0.022222,0.6154115839243499,10.316,0.0
0.5X,1000,true,R16,treeqmc_n1_v1.0.0,heron03,0,0.0,0.6154144002466851,10.923,0.0
0.5X,1000,true,R16,treeqmc_n2_v1.0.0,heron03,1,0.022222,0.615319683420701,10.898,0.0
0.5X,1000,true,R16,astral_3_v5.7.7,heron03,0,0.0,0.6154144002466851,178.859,0.0
0.5X,1000,true,R16,fastral,heron03,0,0.0,0.6154144002466851,16.597,0.0
0.5X,1000,true,R16,wqfm_v1.3,heron03,0,0.0,0.6154144002466851,725.879,0.9462775476353498
0.5X,1000,true,R16,wqmc_v3.0,heron03,4,0.088889,0.6145518141638401,688.2760000000001,0.9979761026099995
0.5X,1000,true,R16,TRUE,heron03,0,0.0,0.6154144002466851,0.0,0.0
0.5X,1000,true,R17,treeqmc_n0_v1.0.0,heron09,5,0.11111099999999999,0.6211430465618255,10.35,0.0
0.5X,1000,true,R17,treeqmc_n1_v1.0.0,heron09,4,0.088889,0.6211736458012128,11.032,0.0
0.5X,1000,true,R17,treeqmc_n2_v1.0.0,heron09,2,0.044444,0.6210149347312159,11.118,0.0
0.5X,1000,true,R17,astral_3_v5.7.7,heron09,4,0.088889,0.6211736458012128,173.358,0.0
0.5X,1000,true,R17,fastral,heron09,4,0.088889,0.6211736458012128,16.681,0.0
0.5X,1000,true,R17,wqfm_v1.3,heron09,2,0.044444,0.6210149347312159,730.851,0.9465130375411678
0.5X,1000,true,R17,wqmc_v3.0,heron09,5,0.11111099999999999,0.6202820485147497,693.185,0.9979442717312118
0.5X,1000,true,R17,TRUE,heron09,0,0.0,0.620615320176791,0.0,0.0
0.5X,1000,true,R18,treeqmc_n0_v1.0.0,heron05,1,0.022222,0.6179195754959399,10.412,0.0
0.5X,1000,true,R18,treeqmc_n1_v1.0.0,heron05,1,0.022222,0.6179195754959399,10.982,0.0
0.5X,1000,true,R18,treeqmc_n2_v1.0.0,heron05,2,0.044444,0.6174887552677562,11.022,0.0
0.5X,1000,true,R18,astral_3_v5.7.7,heron05,3,0.06666699999999999,0.6176316425120773,173.93200000000002,0.0
0.5X,1000,true,R18,fastral,heron05,1,0.022222,0.6179195754959399,16.617,0.0
0.5X,1000,true,R18,wqfm_v1.3,heron05,1,0.022222,0.6179195754959399,710.789,0.9315563409112971
0.5X,1000,true,R18,wqmc_v3.0,heron05,4,0.088889,0.6170976513516292,663.563,0.9978555163563972
0.5X,1000,true,R18,TRUE,heron05,0,0.0,0.6178954311851167,0.0,0.0
0.5X,1000,true,R19,treeqmc_n0_v1.0.0,heron06,1,0.022222,0.6141464076472402,10.414,0.0
0.5X,1000,true,R19,treeqmc_n1_v1.0.0,heron06,1,0.022222,0.6141464076472402,11.004,0.0
0.5X,1000,true,R19,treeqmc_n2_v1.0.0,heron06,2,0.044444,0.6141266008839552,10.749,0.0
0.5X,1000,true,R19,astral_3_v5.7.7,heron06,1,0.022222,0.6141464076472402,185.51,0.0
0.5X,1000,true,R19,fastral,heron06,1,0.022222,0.6141464076472402,16.739,0.0
0.5X,1000,true,R19,wqfm_v1.3,heron06,2,0.044444,0.6141266008839552,702.765,0.9437450641395061
0.5X,1000,true,R19,wqmc_v3.0,heron06,4,0.088889,0.6138197142563471,664.601,0.9979386127917352
0.5X,1000,true,R19,TRUE,heron06,0,0.0,0.6141288159111934,0.0,0.0
0.5X,1000,true,R20,treeqmc_n0_v1.0.0,heron04,3,0.06666699999999999,0.6162995374653099,10.52,0.0
0.5X,1000,true,R20,treeqmc_n1_v1.0.0,heron04,3,0.06666699999999999,0.6162995374653099,11.321,0.0
0.5X,1000,true,R20,treeqmc_n2_v1.0.0,heron04,2,0.044444,0.6157531349573441,11.313,0.0
0.5X,1000,true,R20,astral_3_v5.7.7,heron04,1,0.022222,0.6162107667797307,182.111,0.0
0.5X,1000,true,R20,fastral,heron04,3,0.06666699999999999,0.6162995374653099,16.655,0.0
0.5X,1000,true,R20,wqfm_v1.3,heron04,2,0.044444,0.6157531349573441,740.4469999999999,0.9450467082721654
0.5X,1000,true,R20,wqmc_v3.0,heron04,4,0.088889,0.6154144413608799,701.1859999999999,0.9979620243416155
0.5X,1000,true,R20,TRUE,heron04,0,0.0,0.616177073697194,0.0,0.0
0.5X,1000,500,R1,treeqmc_n0_v1.0.0,heron08,7,0.155556,0.5715007092198582,11.092,0.0
0.5X,1000,500,R1,treeqmc_n1_v1.0.0,heron08,6,0.13333299999999998,0.5713334669544661,11.524,0.0
0.5X,1000,500,R1,treeqmc_n2_v1.0.0,heron08,5,0.11111099999999999,0.5713263798951588,11.506,0.0
0.5X,1000,500,R1,astral_3_v5.7.7,heron08,7,0.155556,0.5714487357385137,253.548,0.0
0.5X,1000,500,R1,fastral,heron08,5,0.11111099999999999,0.5716010535512386,18.428,0.0
0.5X,1000,500,R1,wqfm_v1.3,heron08,6,0.13333299999999998,0.5710909754342687,669.471,0.9376343411439779
0.5X,1000,500,R1,wqmc_v3.0,heron08,13,0.288889,0.5695185065268784,629.0540000000001,0.9978777656608177
0.5X,1000,500,R1,TRUE,heron08,0,0.0,0.5707819148936171,0.0,0.0
0.5X,1000,500,R2,treeqmc_n0_v1.0.0,heron07,6,0.13333299999999998,0.5664489310309384,10.537,0.0
0.5X,1000,500,R2,treeqmc_n1_v1.0.0,heron07,3,0.06666699999999999,0.5668660088395518,11.182,0.0
0.5X,1000,500,R2,treeqmc_n2_v1.0.0,heron07,3,0.06666699999999999,0.5668660088395518,11.175,0.0
0.5X,1000,500,R2,astral_3_v5.7.7,heron07,5,0.11111099999999999,0.5667196782814267,240.567,0.0
0.5X,1000,500,R2,fastral,heron07,3,0.06666699999999999,0.5668660088395518,18.078,0.0
0.5X,1000,500,R2,wqfm_v1.3,heron07,4,0.088889,0.5667736406619386,705.4730000000001,0.9402641915424119
0.5X,1000,500,R2,wqmc_v3.0,heron07,10,0.22222199999999998,0.5620257272073184,664.6370000000001,0.998035017611117
0.5X,1000,500,R2,TRUE,heron07,0,0.0,0.5657482269503546,0.0,0.0
0.5X,1000,500,R3,treeqmc_n0_v1.0.0,heron10,7,0.155556,0.5704940230239489,10.502,0.0
0.5X,1000,500,R3,treeqmc_n1_v1.0.0,heron10,3,0.06666699999999999,0.5712673810257991,11.232,0.0
0.5X,1000,500,R3,treeqmc_n2_v1.0.0,heron10,3,0.06666699999999999,0.5712434011717545,11.248,0.0
0.5X,1000,500,R3,astral_3_v5.7.7,heron10,4,0.088889,0.5707991828553808,249.297,0.0
0.5X,1000,500,R3,fastral,heron10,3,0.06666699999999999,0.5712673810257991,18.322,0.0
0.5X,1000,500,R3,wqfm_v1.3,heron10,3,0.06666699999999999,0.5712673810257991,692.494,0.9410464206188067
0.5X,1000,500,R3,wqmc_v3.0,heron10,8,0.177778,0.5699371261177921,653.029,0.9979173972365699
0.5X,1000,500,R3,TRUE,heron10,0,0.0,0.5711154024051804,0.0,0.0
0.5X,1000,500,R4,treeqmc_n0_v1.0.0,heron00,4,0.088889,0.5669989670058587,20.816,0.0
0.5X,1000,500,R4,treeqmc_n1_v1.0.0,heron00,5,0.11111099999999999,0.5670095950251824,21.612,0.0
0.5X,1000,500,R4,treeqmc_n2_v1.0.0,heron00,4,0.088889,0.5669752441155309,21.561,0.0
0.5X,1000,500,R4,astral_3_v5.7.7,heron00,6,0.13333299999999998,0.5664795456881488,466.575,0.0
0.5X,1000,500,R4,fastral,heron00,3,0.06666699999999999,0.5669853325110494,33.207,0.0
0.5X,1000,500,R4,wqfm_v1.3,heron00,6,0.13333299999999998,0.5664626991468804,1275.768,0.9472568680198907
0.5X,1000,500,R4,wqmc_v3.0,heron00,9,0.2,0.5626997635933806,1211.0240000000001,0.9978992984449523
0.5X,1000,500,R4,TRUE,heron00,0,0.0,0.5658358772741289,0.0,0.0
0.5X,1000,500,R5,treeqmc_n0_v1.0.0,heron02,5,0.11111099999999999,0.5693027032582999,10.798,0.0
0.5X,1000,500,R5,treeqmc_n1_v1.0.0,heron02,3,0.06666699999999999,0.5693088703875013,11.261,0.0
0.5X,1000,500,R5,treeqmc_n2_v1.0.0,heron02,3,0.06666699999999999,0.5693088703875013,11.19,0.0
0.5X,1000,500,R5,astral_3_v5.7.7,heron02,4,0.088889,0.5692617278240313,245.79,0.0
0.5X,1000,500,R5,fastral,heron02,3,0.06666699999999999,0.5693088703875013,20.744,0.0
0.5X,1000,500,R5,wqfm_v1.3,heron02,4,0.088889,0.569267930928153,720.764,0.9408225161079077
