NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
10,medium,shallow,12,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,12,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,13,none,50,CA-ML,0,0.0
10,medium,shallow,13,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,13,none,50,TQMC-n2,0,0.0
10,medium,shallow,13,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,13,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,13,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,13,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,13,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,13,sh,50,ASTER-wh,0,0.0
10,medium,shallow,13,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,13,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,14,none,50,CA-ML,0,0.0
10,medium,shallow,14,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,14,none,50,TQMC-n2,0,0.0
10,medium,shallow,14,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,14,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,14,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,14,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,14,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,14,sh,50,ASTER-wh,0,0.0
10,medium,shallow,14,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,14,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,15,none,50,CA-ML,0,0.0
10,medium,shallow,15,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,15,none,50,TQMC-n2,0,0.0
10,medium,shallow,15,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,15,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,15,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,15,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,15,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,15,sh,50,ASTER-wh,0,0.0
10,medium,shallow,15,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,15,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,16,none,50,CA-ML,0,0.0
10,medium,shallow,16,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,16,none,50,TQMC-n2,0,0.0
10,medium,shallow,16,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,16,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,16,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,16,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,16,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,16,sh,50,ASTER-wh,0,0.0
10,medium,shallow,16,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,16,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,17,none,50,CA-ML,0,0.0
10,medium,shallow,17,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,17,none,50,TQMC-n2,0,0.0
10,medium,shallow,17,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,17,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,17,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,17,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,17,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,17,sh,50,ASTER-wh,0,0.0
10,medium,shallow,17,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,17,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,18,none,50,CA-ML,0,0.0
10,medium,shallow,18,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,18,none,50,TQMC-n2,1,0.125
10,medium,shallow,18,abayes,50,TQMC-ws_n2,1,0.125
10,medium,shallow,18,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,18,abayes,50,TQMC-wh_n2,1,0.125
10,medium,shallow,18,sh,50,TQMC-wh_n2,1,0.125
10,medium,shallow,18,abayes,50,ASTER-wh,1,0.125
10,medium,shallow,18,sh,50,ASTER-wh,1,0.125
10,medium,shallow,18,abayes,50,ASTRID-ws,1,0.125
10,medium,shallow,18,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,19,none,50,CA-ML,0,0.0
10,medium,shallow,19,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,19,none,50,TQMC-n2,0,0.0
10,medium,shallow,19,abayes,50,TQMC-ws_n2,0,0.0
