"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","SEFN","SEFNR","QSCR","AVG_LPP","MED_LPP","AVG_QQS","MED_QQS"
10,"medium","shallow",14,"abayes",50,"ASTER-wh",0,0.0,6230.041805,0.997887125,1.0,0.81783775,0.8789245
10,"medium","shallow",15,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",15,"abayes",50,"ASTEROID",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",15,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",15,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",15,"abayes",50,"TQMC-wh_n2",0,0.0,10880.81074,1.0,1.0,0.9135541250000001,0.945295
10,"medium","shallow",15,"abayes",50,"ASTER-wh",0,0.0,10880.81074,1.0,1.0,0.9135541250000001,0.945295
10,"medium","shallow",16,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",16,"abayes",50,"ASTEROID",4,0.5,"NA","NA","NA","NA","NA"
10,"medium","shallow",16,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",16,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",16,"abayes",50,"TQMC-wh_n2",0,0.0,5122.630388,0.998887375,1.0,0.828442125,0.8872614999999999
10,"medium","shallow",16,"abayes",50,"ASTER-wh",0,0.0,5122.630388,0.998887375,1.0,0.828442125,0.8872614999999999
10,"medium","shallow",17,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",17,"abayes",50,"ASTEROID",6,0.75,"NA","NA","NA","NA","NA"
10,"medium","shallow",17,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",17,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",17,"abayes",50,"TQMC-wh_n2",0,0.0,7496.552437,0.9324355,1.0,0.78904025,0.857513
10,"medium","shallow",17,"abayes",50,"ASTER-wh",0,0.0,7496.552437,0.9324355,1.0,0.78904025,0.857513
10,"medium","shallow",18,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",18,"abayes",50,"ASTEROID",5,0.625,"NA","NA","NA","NA","NA"
10,"medium","shallow",18,"abayes",50,"ASTRID-ws",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",18,"abayes",50,"TQMC-n2",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",18,"abayes",50,"TQMC-wh_n2",1,0.125,10652.50733,0.9756685,1.0,0.8834371249999999,0.9418355
10,"medium","shallow",18,"abayes",50,"ASTER-wh",1,0.125,10652.50733,0.9756685,1.0,0.8834371249999999,0.9418355
10,"medium","shallow",19,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",19,"abayes",50,"ASTEROID",6,0.75,"NA","NA","NA","NA","NA"
10,"medium","shallow",19,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",19,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",19,"abayes",50,"TQMC-wh_n2",0,0.0,5617.168655,0.99985525,1.0,0.86547975,0.944103
10,"medium","shallow",19,"abayes",50,"ASTER-wh",0,0.0,5617.168655,0.99985525,1.0,0.86547975,0.944103
10,"medium","shallow",20,"sh",50,"CA-ML",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",20,"abayes",50,"ASTEROID",6,0.75,"NA","NA","NA","NA","NA"
10,"medium","shallow",20,"abayes",50,"ASTRID-ws",2,0.25,"NA","NA","NA","NA","NA"
10,"medium","shallow",20,"abayes",50,"TQMC-n2",2,0.25,"NA","NA","NA","NA","NA"
10,"medium","shallow",20,"abayes",50,"TQMC-wh_n2",2,0.25,10585.3503,0.89705425,1.0,0.7717665,0.85832
10,"medium","shallow",20,"abayes",50,"ASTER-wh",2,0.25,10585.3503,0.89705425,1.0,0.7717665,0.85832
10,"medium","shallow",21,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",21,"abayes",50,"ASTEROID",5,0.625,"NA","NA","NA","NA","NA"
10,"medium","shallow",21,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",21,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",21,"abayes",50,"TQMC-wh_n2",0,0.0,6474.109131,0.97197775,0.999931,0.76745925,0.7906595000000001
10,"medium","shallow",21,"abayes",50,"ASTER-wh",0,0.0,6474.109131,0.97197775,0.999931,0.76745925,0.7906595000000001
10,"medium","shallow",22,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",22,"abayes",50,"ASTEROID",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",22,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",22,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",22,"abayes",50,"TQMC-wh_n2",0,0.0,4245.436775,0.999993,1.0,0.89685675,0.926847
10,"medium","shallow",22,"abayes",50,"ASTER-wh",0,0.0,4245.436775,0.999993,1.0,0.89685675,0.926847
10,"medium","shallow",23,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",23,"abayes",50,"ASTEROID",5,0.625,"NA","NA","NA","NA","NA"
10,"medium","shallow",23,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",23,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",23,"abayes",50,"TQMC-wh_n2",0,0.0,7054.186225,0.9999915,1.0,0.8788971250000001,0.935126
10,"medium","shallow",23,"abayes",50,"ASTER-wh",0,0.0,7054.186225,0.9999915,1.0,0.8788971250000001,0.935126
10,"medium","shallow",24,"sh",50,"CA-ML",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",24,"abayes",50,"ASTEROID",7,0.875,"NA","NA","NA","NA","NA"
10,"medium","shallow",24,"abayes",50,"ASTRID-ws",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",24,"abayes",50,"TQMC-n2",2,0.25,"NA","NA","NA","NA","NA"
10,"medium","shallow",24,"abayes",50,"TQMC-wh_n2",2,0.25,5345.068251,0.918946375,1.0,0.816242375,0.9404275
10,"medium","shallow",24,"abayes",50,"ASTER-wh",1,0.125,5347.098733,0.90876175,1.0,0.8066009999999999,0.9330385
10,"medium","shallow",25,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",25,"abayes",50,"ASTEROID",4,0.5,"NA","NA","NA","NA","NA"
10,"medium","shallow",25,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",25,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",25,"abayes",50,"TQMC-wh_n2",0,0.0,5760.63116,0.9986714999999999,1.0,0.819390375,0.8371925
10,"medium","shallow",25,"abayes",50,"ASTER-wh",0,0.0,5760.63116,0.9986714999999999,1.0,0.819390375,0.8371925
10,"medium","shallow",26,"sh",50,"CA-ML",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",26,"abayes",50,"ASTEROID",6,0.75,"NA","NA","NA","NA","NA"
10,"medium","shallow",26,"abayes",50,"ASTRID-ws",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",26,"abayes",50,"TQMC-n2",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",26,"abayes",50,"TQMC-wh_n2",1,0.125,10974.10522,0.9884630000000001,1.0,0.8231205,0.8976005
10,"medium","shallow",26,"abayes",50,"ASTER-wh",1,0.125,10974.10522,0.9884630000000001,1.0,0.8231205,0.8976005
10,"medium","shallow",27,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",27,"abayes",50,"ASTEROID",4,0.5,"NA","NA","NA","NA","NA"
10,"medium","shallow",27,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",27,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",27,"abayes",50,"TQMC-wh_n2",0,0.0,9267.754713,0.9991415,1.0,0.871352,0.909718
10,"medium","shallow",27,"abayes",50,"ASTER-wh",0,0.0,9267.754713,0.9991415,1.0,0.871352,0.909718
10,"medium","shallow",28,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
