"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SEFN","SEFNR","SECS"
10,"medium","shallow",27,"sh",1000,"TQMC-wh_n2","cbcb21",23,2.875,0.339
10,"medium","shallow",27,"sh",1000,"ASTER-wh (1 thread)","cbcb21",23,2.875,0.438
10,"medium","shallow",27,"sh",1000,"ASTER-wh (16 threads)","cbcb21",23,2.875,0.09
10,"medium","shallow",28,"sh",1000,"ASTRID-ws","cbcb07",23,2.875,0.056
10,"medium","shallow",28,"sh",1000,"TQMC-wh_n2","cbcb07",23,2.875,0.3
10,"medium","shallow",28,"sh",1000,"ASTER-wh (1 thread)","cbcb07",23,2.875,0.459
10,"medium","shallow",28,"sh",1000,"ASTER-wh (16 threads)","cbcb07",23,2.875,0.126
10,"medium","shallow",29,"sh",1000,"ASTRID-ws","cbcb03",23,2.875,0.038
10,"medium","shallow",29,"sh",1000,"TQMC-wh_n2","cbcb03",23,2.875,0.327
10,"medium","shallow",29,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,2.875,0.716
10,"medium","shallow",29,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,2.875,0.153
10,"medium","shallow",30,"sh",1000,"ASTRID-ws","cbcb08",23,2.875,0.041
10,"medium","shallow",30,"sh",1000,"TQMC-wh_n2","cbcb08",23,2.875,0.337
10,"medium","shallow",30,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,2.875,0.756
10,"medium","shallow",30,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,2.875,0.087
10,"medium","shallow",31,"sh",1000,"ASTRID-ws","cbcb09",23,2.875,0.049
10,"medium","shallow",31,"sh",1000,"TQMC-wh_n2","cbcb09",23,2.875,0.332
10,"medium","shallow",31,"sh",1000,"ASTER-wh (1 thread)","cbcb09",23,2.875,0.736
10,"medium","shallow",31,"sh",1000,"ASTER-wh (16 threads)","cbcb09",23,2.875,0.133
10,"medium","shallow",32,"sh",1000,"ASTRID-ws","cbcb06",23,2.875,0.041
10,"medium","shallow",32,"sh",1000,"TQMC-wh_n2","cbcb06",23,2.875,0.348
10,"medium","shallow",32,"sh",1000,"ASTER-wh (1 thread)","cbcb06",23,2.875,0.951
10,"medium","shallow",32,"sh",1000,"ASTER-wh (16 threads)","cbcb06",23,2.875,0.108
