"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SEFN","SEFNR","SECS"
200,"low","deep",25,"sh",1000,"ASTER-wh (16 threads)","cbcb07",23,0.11616161616161616,36.046
200,"low","deep",26,"sh",1000,"ASTRID-ws","cbcb17",23,0.11616161616161616,0.271
200,"low","deep",26,"sh",1000,"TQMC-wh_n2","cbcb17",23,0.11616161616161616,161.99099999999999
200,"low","deep",26,"sh",1000,"ASTER-wh (1 thread)","cbcb17",23,0.11616161616161616,806.609
200,"low","deep",26,"sh",1000,"ASTER-wh (16 threads)","cbcb17",23,0.11616161616161616,26.982
200,"low","deep",27,"sh",1000,"ASTRID-ws","cbcb18",23,0.11616161616161616,0.264
200,"low","deep",27,"sh",1000,"TQMC-wh_n2","cbcb18",23,0.11616161616161616,156.963
200,"low","deep",27,"sh",1000,"ASTER-wh (1 thread)","cbcb18",23,0.11616161616161616,619.622
200,"low","deep",27,"sh",1000,"ASTER-wh (16 threads)","cbcb18",23,0.11616161616161616,34.316
200,"low","deep",28,"sh",1000,"ASTRID-ws","cbcb09",23,0.11616161616161616,0.271
200,"low","deep",28,"sh",1000,"TQMC-wh_n2","cbcb09",23,0.11616161616161616,173.208
200,"low","deep",28,"sh",1000,"ASTER-wh (1 thread)","cbcb09",23,0.11616161616161616,869.285
200,"low","deep",28,"sh",1000,"ASTER-wh (16 threads)","cbcb09",23,0.11616161616161616,39.903
200,"low","deep",29,"sh",1000,"ASTRID-ws","cbcb11",23,0.11616161616161616,0.275
200,"low","deep",29,"sh",1000,"TQMC-wh_n2","cbcb11",23,0.11616161616161616,245.289
200,"low","deep",29,"sh",1000,"ASTER-wh (1 thread)","cbcb11",23,0.11616161616161616,662.68
200,"low","deep",29,"sh",1000,"ASTER-wh (16 threads)","cbcb11",23,0.11616161616161616,26.262
200,"low","deep",30,"sh",1000,"ASTRID-ws","cbcb03",23,0.11616161616161616,0.272
200,"low","deep",30,"sh",1000,"TQMC-wh_n2","cbcb03",23,0.11616161616161616,168.078
200,"low","deep",30,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,0.11616161616161616,442.353
