NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
200,low,deep,12,sh,50,TQMC-wh_n2,24,0.12121212121212122
200,low,deep,12,abayes,50,ASTER-wh,22,0.1111111111111111
200,low,deep,12,sh,50,ASTER-wh,26,0.13131313131313133
200,low,deep,12,abayes,50,ASTRID-ws,26,0.13131313131313133
200,low,deep,12,sh,50,ASTRID-ws,27,0.13636363636363635
200,low,deep,13,none,50,CA-ML,10,0.050505050505050504
200,low,deep,13,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,13,none,50,TQMC-n2,15,0.07575757575757576
200,low,deep,13,abayes,50,TQMC-ws_n2,11,0.05555555555555555
200,low,deep,13,sh,50,TQMC-ws_n2,12,0.06060606060606061
200,low,deep,13,abayes,50,TQMC-wh_n2,8,0.04040404040404041
200,low,deep,13,sh,50,TQMC-wh_n2,13,0.06565656565656566
200,low,deep,13,abayes,50,ASTER-wh,9,0.045454545454545456
200,low,deep,13,sh,50,ASTER-wh,14,0.0707070707070707
200,low,deep,13,abayes,50,ASTRID-ws,10,0.050505050505050504
200,low,deep,13,sh,50,ASTRID-ws,14,0.0707070707070707
200,low,deep,14,none,50,CA-ML,6,0.030303030303030304
200,low,deep,14,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,14,none,50,TQMC-n2,29,0.14646464646464646
200,low,deep,14,abayes,50,TQMC-ws_n2,24,0.12121212121212122
200,low,deep,14,sh,50,TQMC-ws_n2,27,0.13636363636363635
200,low,deep,14,abayes,50,TQMC-wh_n2,22,0.1111111111111111
200,low,deep,14,sh,50,TQMC-wh_n2,24,0.12121212121212122
200,low,deep,14,abayes,50,ASTER-wh,25,0.12626262626262627
200,low,deep,14,sh,50,ASTER-wh,25,0.12626262626262627
200,low,deep,14,abayes,50,ASTRID-ws,24,0.12121212121212122
200,low,deep,14,sh,50,ASTRID-ws,32,0.16161616161616163
200,low,deep,15,none,50,CA-ML,4,0.020202020202020204
200,low,deep,15,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,15,none,50,TQMC-n2,9,0.045454545454545456
200,low,deep,15,abayes,50,TQMC-ws_n2,7,0.03535353535353535
200,low,deep,15,sh,50,TQMC-ws_n2,6,0.030303030303030304
200,low,deep,15,abayes,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,15,sh,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,15,abayes,50,ASTER-wh,6,0.030303030303030304
200,low,deep,15,sh,50,ASTER-wh,5,0.025252525252525252
200,low,deep,15,abayes,50,ASTRID-ws,6,0.030303030303030304
200,low,deep,15,sh,50,ASTRID-ws,7,0.03535353535353535
200,low,deep,16,none,50,CA-ML,5,0.025252525252525252
200,low,deep,16,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,16,none,50,TQMC-n2,10,0.050505050505050504
200,low,deep,16,abayes,50,TQMC-ws_n2,9,0.045454545454545456
200,low,deep,16,sh,50,TQMC-ws_n2,10,0.050505050505050504
200,low,deep,16,abayes,50,TQMC-wh_n2,4,0.020202020202020204
200,low,deep,16,sh,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,16,abayes,50,ASTER-wh,4,0.020202020202020204
200,low,deep,16,sh,50,ASTER-wh,8,0.04040404040404041
200,low,deep,16,abayes,50,ASTRID-ws,16,0.08080808080808081
200,low,deep,16,sh,50,ASTRID-ws,15,0.07575757575757576
200,low,deep,17,none,50,CA-ML,2,0.010101010101010102
200,low,deep,17,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,17,none,50,TQMC-n2,11,0.05555555555555555
200,low,deep,17,abayes,50,TQMC-ws_n2,11,0.05555555555555555
200,low,deep,17,sh,50,TQMC-ws_n2,11,0.05555555555555555
200,low,deep,17,abayes,50,TQMC-wh_n2,3,0.015151515151515152
200,low,deep,17,sh,50,TQMC-wh_n2,7,0.03535353535353535
200,low,deep,17,abayes,50,ASTER-wh,4,0.020202020202020204
200,low,deep,17,sh,50,ASTER-wh,6,0.030303030303030304
200,low,deep,17,abayes,50,ASTRID-ws,10,0.050505050505050504
200,low,deep,17,sh,50,ASTRID-ws,10,0.050505050505050504
200,low,deep,18,none,50,CA-ML,7,0.03535353535353535
200,low,deep,18,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,18,none,50,TQMC-n2,8,0.04040404040404041
200,low,deep,18,abayes,50,TQMC-ws_n2,8,0.04040404040404041
200,low,deep,18,sh,50,TQMC-ws_n2,8,0.04040404040404041
