SCAL,NGEN,NBPS,REPL,GENE,NL,I1,I2,FN,FP,RF
noscale,200g,1000b,R10,147,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,148,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,149,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,150,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,151,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,152,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,153,37,34,34,20,20,0.588235
noscale,200g,1000b,R10,154,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,155,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,156,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,157,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,158,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,159,37,34,34,18,18,0.529412
noscale,200g,1000b,R10,160,37,34,34,17,17,0.500000
noscale,200g,1000b,R10,161,37,34,34,9,9,0.264706
noscale,200g,1000b,R10,162,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,163,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,164,37,34,34,9,9,0.264706
noscale,200g,1000b,R10,165,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,166,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,167,37,34,34,16,16,0.470588
noscale,200g,1000b,R10,168,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,169,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,170,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,171,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,172,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,173,37,34,34,18,18,0.529412
noscale,200g,1000b,R10,174,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,175,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,176,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,177,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,178,37,34,34,16,16,0.470588
noscale,200g,1000b,R10,179,37,34,34,9,9,0.264706
noscale,200g,1000b,R10,180,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,181,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,182,37,34,34,18,18,0.529412
noscale,200g,1000b,R10,183,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,184,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,185,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,186,37,34,34,16,16,0.470588
noscale,200g,1000b,R10,187,37,34,34,8,8,0.235294
noscale,200g,1000b,R10,188,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,189,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,190,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,191,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,192,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,193,37,34,34,16,16,0.470588
noscale,200g,1000b,R10,194,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,195,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,196,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,197,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,198,37,34,34,17,17,0.500000
noscale,200g,1000b,R10,199,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,200,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,1,37,34,34,8,8,0.235294
noscale,200g,1000b,R11,2,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,3,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,4,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,5,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,6,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,7,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,8,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,9,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,10,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,11,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,12,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,13,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,14,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,15,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,16,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,17,37,34,34,19,19,0.558824
noscale,200g,1000b,R11,18,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,19,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,20,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,21,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,22,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,23,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,24,37,34,34,19,19,0.558824
noscale,200g,1000b,R11,25,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,26,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,27,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,28,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,29,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,30,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,31,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,32,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,33,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,34,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,35,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,36,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,37,37,34,34,8,8,0.235294
noscale,200g,1000b,R11,38,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,39,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,40,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,41,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,42,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,43,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,44,37,34,34,7,7,0.205882
noscale,200g,1000b,R11,45,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,46,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,47,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,48,37,34,34,4,4,0.117647
noscale,200g,1000b,R11,49,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,50,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,51,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,52,37,34,34,8,8,0.235294
noscale,200g,1000b,R11,53,37,34,34,19,19,0.558824
noscale,200g,1000b,R11,54,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,55,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,56,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,57,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,58,37,34,34,6,6,0.176471
noscale,200g,1000b,R11,59,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,60,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,61,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,62,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,63,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,64,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,65,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,66,37,34,34,20,20,0.588235
noscale,200g,1000b,R11,67,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,68,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,69,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,70,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,71,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,72,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,73,37,34,34,7,7,0.205882
noscale,200g,1000b,R11,74,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,75,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,76,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,77,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,78,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,79,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,80,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,81,37,34,34,19,19,0.558824
noscale,200g,1000b,R11,82,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,83,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,84,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,85,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,86,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,87,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,88,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,89,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,90,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,91,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,92,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,93,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,94,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,95,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,96,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,97,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,98,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,99,37,34,34,18,18,0.529412
noscale,200g,1000b,R11,100,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,101,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,102,37,34,34,6,6,0.176471
noscale,200g,1000b,R11,103,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,104,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,105,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,106,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,107,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,108,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,109,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,110,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,111,37,34,34,10,10,0.294118
